"","region","lgbtq_hate","temp_id"
"1","alabama",89.8874541564401,1
"2","alaska",4,2
"3","arizona",32,3
"4","arkansas",1,4
"5","california",242,5
"6","colorado",47,6
"7","connecticut",12,7
"8","delaware",7,8
"9","florida",27,9
"10","georgia",9,10
"11","hawaii",9,11
"12","idaho",4,12
"13","illinois",17,13
"14","indiana",14,14
"15","iowa",4,15
"16","kansas",8,16
"17","kentucky",21,17
"18","louisiana",7,18
"19","maine",7,19
"20","maryland",7,20
"21","massachusetts",94,21
"22","michigan",59,22
"23","minnesota",20,23
"24","mississippi",1,24
"25","missouri",16,25
"26","montana",3,26
"27","nebraska",3,27
"28","nevada",4,28
"29","new hampshire",3,29
"30","new jersey",70,30
"31","new mexico",8,31
"32","new york",73,32
"33","north carolina",30,33
"34","north dakota",3,34
"35","ohio",67,35
"36","oklahoma",8,36
"37","oregon",29,37
"38","pennsylvania",4,38
"39","rhode island",8,39
"40","south carolina",10,40
"41","south dakota",4,41
"42","tennessee",12,42
"43","texas",78,43
"44","utah",3,44
"45","vermont",9,45
"46","virginia",28,46
"47","washington",124,47
"48","west virginia",4,48
"49","wisconsin",7,49
"50","wyoming",1,50
