"","region","case_state","year","govt_fund","lgbtq_perc","lgbtq_perc_actual","lgbtq_total","n","govt_total","perc_confirmed","lgbtq_actual","t","n_facility","state_policy","temp_id"
"1","alaska",1,2010,83.1168831168831,2.5974025974026,0,2,77,64,0,0,1,288.292733102207,14.4578313253012,1
"2","alabama",2,2010,63.768115942029,2.89855072463768,0.111482720178372,4,138,88,0.0384615384615385,0.153846153846154,1,391.841226829297,7.2289156626506,2
"3","arkansas",3,2010,75.8064516129032,8.06451612903226,0.23719165085389,5,62,47,0.0294117647058824,0.147058823529412,1,241.879417062895,14.4578313253012,3
"4","arizona",4,2010,42.9906542056075,3.73831775700935,0.55927588490691,8,214,92,0.149606299212598,1.19685039370079,1,257.655874477122,16.8674698795181,4
"5","california",5,2010,60.3936039360394,10.2706027060271,1.55294336448519,167,1626,982,0.151202749140893,25.2508591065292,1,737.668353775094,36.144578313253,5
"6","colorado",6,2010,50.5720823798627,10.0686498855835,1.59503364524095,44,437,221,0.158415841584158,6.97029702970297,1,254.949314473412,36.144578313253,6
"7","connecticut",7,2010,71.2820512820513,2.05128205128205,0.139069969578444,4,195,139,0.0677966101694915,0.271186440677966,1,348.679193234106,31.3253012048193,7
"8","delaware",8,2010,67.5675675675676,5.40540540540541,0.45045045045045,2,37,25,0.0833333333333333,0.166666666666667,1,175.021489719716,26.5060240963855,8
"9","florida",9,2010,51.7706576728499,6.57672849915683,0.80279315013182,39,593,307,0.122065727699531,4.76056338028169,1,342.783701978676,12.0481927710843,9
"10","georgia",10,2010,46.9135802469136,2.46913580246914,0.249687890137328,6,243,114,0.101123595505618,0.606741573033708,1,271.585941213888,12.0481927710843,10
"11","hawaii",11,2010,87.3949579831933,2.52100840336134,0,3,119,104,0,0,1,294.591497051933,33.7349397590361,11
"12","iowa",12,2010,76,0.8,0.1,1,125,95,0.125,0.125,1,210.26167114094,43.3734939759036,12
"13","idaho",13,2010,67.741935483871,3.2258064516129,0.258064516129032,3,93,63,0.08,0.24,1,300.555608914843,4.81927710843374,13
"14","illinois",14,2010,53.960396039604,6.6006600660066,0.749011071319898,40,606,327,0.113475177304965,4.53900709219858,1,382.137901901539,36.144578313253,14
"15","indiana",15,2010,63.003663003663,3.66300366300366,0.180147721131328,10,273,172,0.0491803278688525,0.491803278688525,1,303.643494096667,14.4578313253012,15
"16","kansas",16,2010,55.9241706161137,5.21327014218009,0.744752877454299,11,211,118,0.142857142857143,1.57142857142857,1,248.629991248078,9.63855421686747,16
"17","kentucky",17,2010,51.877133105802,3.7542662116041,0.28878970858493,11,293,152,0.0769230769230769,0.846153846153846,1,337.495853023168,14.4578313253012,17
"18","louisiana",18,2010,74.025974025974,3.24675324675325,0,5,154,114,0,0,1,361.237992501553,24.0963855421687,18
"19","massachusetts",19,2010,60.9120521172638,5.53745928338762,0.738327904451683,17,307,187,0.133333333333333,2.26666666666667,1,214.617246931827,31.3253012048193,19
"20","maryland",20,2010,53.0973451327434,4.71976401179941,0.51622418879056,16,339,180,0.109375,1.75,1,272.167366719607,28.9156626506024,20
"21","maine",21,2010,35.7541899441341,3.91061452513966,1.03516266841932,7,179,64,0.264705882352941,1.85294117647059,1,325.028648441448,43.3734939759036,21
"22","michigan",22,2010,58.5263157894737,5.26315789473684,0.88539104771274,25,475,278,0.168224299065421,4.20560747663551,1,318.74906595372,7.2289156626506,22
"23","minnesota",23,2010,51.9480519480519,7.14285714285714,0.970017636684303,22,308,160,0.135802469135802,2.98765432098765,1,358.884287549738,31.3253012048193,23
"24","missouri",24,2010,80.6818181818182,2.27272727272727,0.12987012987013,6,264,213,0.0571428571428571,0.342857142857143,1,329.383601152727,12.0481927710843,24
"25","mississippi",25,2010,75.4901960784314,4.43296151641029,1.09802865903318,15.9820414605564,102,77,0.136363636363636,4.03331190505423,1,300.219718719053,0,25
"26","montana",26,2010,83.0188679245283,3.77358490566038,0.171526586620926,2,53,44,0.0454545454545455,0.0909090909090909,1,245.653728728504,4.81927710843374,26
"27","north carolina",27,2010,48.25,5.5,0.356756756756757,22,400,193,0.0648648648648649,1.42702702702703,1,484.658603205439,16.8674698795181,27
"28","north dakota",28,2010,40.3508771929825,3.50877192982456,0.87719298245614,2,57,23,0.25,0.5,1,163.784301188189,2.40963855421687,28
"29","nebraska",29,2010,81.7391304347826,2.60869565217391,0.961098398169336,3,115,94,0.368421052631579,1.10526315789474,1,83.5604201340329,14.4578313253012,29
"30","new hampshire",30,2010,63.4615384615385,3.84615384615385,0,2,52,33,0,0,1,268.314862378074,38.5542168674699,30
"31","new jersey",31,2010,60.2985074626866,7.46268656716418,0.740571949413239,25,335,202,0.099236641221374,2.48091603053435,1,306.985289135923,36.144578313253,31
"32","new mexico",32,2010,78.0141843971631,9.9290780141844,1.36952800195647,14,141,110,0.137931034482759,1.93103448275862,1,161.043516522645,33.7349397590361,32
"33","nevada",33,2010,60.7142857142857,5.95238095238095,0.946969696969697,5,84,51,0.159090909090909,0.795454545454545,1,279.978361880904,33.7349397590361,33
"34","new york",34,2010,58.2,7.7,1.07130434782609,77,1000,582,0.139130434782609,10.7130434782609,1,530.40736862442,26.5060240963855,34
"35","ohio",35,2010,71.8498659517426,1.07238605898123,0.131696533559099,4,373,268,0.12280701754386,0.491228070175439,1,291.951962738346,2.40963855421687,35
"36","oklahoma",36,2010,62.303664921466,3.66492146596859,0.466444550214184,7,191,119,0.127272727272727,0.890909090909091,1,304.732695032833,7.2289156626506,36
"37","oregon",37,2010,62.0535714285714,8.92857142857143,0.700280112044818,20,224,139,0.0784313725490196,1.56862745098039,1,307.787545414505,36.144578313253,37
"38","pennsylvania",38,2010,60.4127579737336,6.56660412757974,1.48118890095784,35,533,322,0.225563909774436,7.89473684210526,1,298.718155897797,19.2771084337349,38
"39","rhode island",39,2010,67.9245283018868,7.54716981132075,1.07816711590296,4,53,36,0.142857142857143,0.571428571428571,1,205.228754648383,33.7349397590361,39
"40","south carolina",40,2010,56.3106796116505,3.88349514563107,0.277392510402219,4,103,58,0.0714285714285714,0.285714285714286,1,325.390335623732,2.40963855421687,40
"41","south dakota",41,2010,78.1818181818182,1.81818181818182,0.202020202020202,1,55,43,0.111111111111111,0.111111111111111,1,296.560628603558,4.81927710843374,41
"42","tennessee",42,2010,69.3069306930693,2.47524752475248,0.123762376237624,5,202,140,0.05,0.25,1,279.234774544947,14.4578313253012,42
"43","texas",43,2010,55.726872246696,4.40528634361234,0.422907488986784,20,454,253,0.096,1.92,1,309.439967620359,24.0963855421687,43
"44","utah",44,2010,44.5205479452055,9.58904109589041,1.22936424306287,14,146,65,0.128205128205128,1.79487179487179,1,183.206584659662,4.81927710843374,44
"45","virginia",45,2010,62.9807692307692,3.36538461538462,0.274725274725275,7,208,131,0.0816326530612245,0.571428571428571,1,275.874362766209,14.4578313253012,45
"46","vermont",46,2010,69.0476190476191,9.52380952380952,3.17460317460317,4,42,29,0.333333333333333,1.33333333333333,1,126.57926556728,38.5542168674699,46
"47","washington",47,2010,54.2857142857143,3.73626373626374,0.43318999840739,17,455,247,0.115942028985507,1.97101449275362,1,290.060542411932,33.7349397590361,47
"48","wisconsin",48,2010,55.2,7.2,0.342857142857143,18,250,138,0.0476190476190476,0.857142857142857,1,272.611376198699,24.0963855421687,48
"49","west virginia",49,2010,71.9512195121951,4.8780487804878,0,4,82,59,0,0,1,265.944046624691,19.2771084337349,49
"50","wyoming",50,2010,86.6666666666667,5,0.294117647058823,3,60,52,0.0588235294117647,0.176470588235294,1,289.795102591761,4.81927710843374,50
"51","alaska",1,2011,80.2631578947368,5.26315789473684,0,4,76,61,0,0,2,227.929503628933,12.0481927710843,51
"52","alabama",2,2011,65.3061224489796,3.40136054421769,0.130821559392988,5,147,96,0.0384615384615385,0.192307692307692,2,322.299981473637,9.63855421686747,52
"53","arkansas",3,2011,68.8524590163934,0,0,0,61,42,0.0294117647058824,0,2,378.422175482929,19.2771084337349,53
"54","arizona",4,2011,47.0319634703196,5.02283105022831,0.751447164994787,11,219,103,0.149606299212598,1.64566929133858,2,357.380439815025,14.4578313253012,54
"55","california",5,2011,59.3654667480171,9.88407565588774,1.49449941188681,162,1639,973,0.151202749140893,24.4948453608247,2,795.401644272249,60.2409638554217,55
"56","colorado",6,2011,53.5714285714286,9.375,1.48514851485149,42,448,240,0.158415841584158,6.65346534653465,2,393.583536053455,50.6024096385542,56
