region,state,lgbtq_pop_total,lgbtq_pop_perc,year
alabama,AL,117000,3.1,2020
alaska,AK,21000,3.7,2020
arizona,AZ,242000,4.5,2020
arkansas,AR,76000,3.3,2020
california,CA,1615000,5.3,2020
colorado,CO,200000,4.6,2020
connecticut,CT,111000,3.9,2020
delaware,DE,34000,4.5,2020
florida,FL,772000,4.6,2020
georgia,GA,356000,4.5,2020
hawaii,HI,52000,4.6,2020
idaho,ID,36000,2.8,2020
illinois,IL,426000,4.3,2020
indiana,IN,229000,4.5,2020
iowa,IA,87000,3.6,2020
kansas,KS,73000,3.3,2020
kentucky,KY,117000,3.4,2020
louisiana,LA,139000,3.9,2020
maine,ME,53000,4.9,2020
maryland,MD,198000,4.2,2020
massachusetts,MA,296000,5.4,2020
michigan,MI,311000,4,2020
minnesota,MN,175000,4.1,2020
mississippi,MS,79000,3.5,2020
missouri,MO,180000,3.8,2020
montana,MT,24000,2.9,2020
nebraska,NE,55000,3.8,2020
nevada,NV,127000,5.5,2020
new hampshire,NH,51000,4.7,2020
new jersey,NJ,288000,4.1,2020
new mexico,NM,72000,4.5,2020
new york,NY,800000,5.1,2020
north carolina,NC,319000,4,2020
north dakota,ND,16000,2.7,2020
ohio,OH,389000,4.3,2020
oklahoma,OK,113000,3.8,2020
oregon,OR,183000,5.6,2020
pennsylvania,PA,416000,4.1,2020
rhode island,RI,38000,4.5,2020
south carolina,SC,137000,3.5,2020
south dakota,SD,20000,3,2020
tennessee,TN,182000,3.5,2020
texas,TX,858000,4.1,2020
utah,UT,80000,3.7,2020
vermont,VT,26000,5.2,2020
virginia,VA,257000,3.9,2020
washington,WA,300000,5.2,2020
west virginia,WV,58000,4,2020
wisconsin,WI,171000,3.8,2020
wyoming,WY,15000,3.3,2020
