id,state,lgbt,FUNDOTHSTATE,FUNDLOCALGOV,FUNDSMHA,FUNDSTATEWELFARE,FUNDSTATEJUV,FUNDSTATEEDUC
201900001,AK,0,1,1,1,1,1,1
201900002,AK,0,1,1,1,1,1,1
201900003,AK,0,0,1,1,1,1,1
201900004,AK,0,0,1,1,1,1,1
201900005,AK,0,1,1,1,1,1,0
201900006,AK,0,1,1,1,0,1,0
201900007,AK,0,0,0,0,0,0,0
201900008,AK,0,0,0,0,0,0,1
201900009,AK,0,1,1,1,1,1,1
201900010,AK,0,1,0,1,1,0,0
201900011,AK,1,0,0,0,0,0,0
201900012,AK,0,0,0,0,0,0,0
201900013,AK,0,1,1,1,1,1,1
201900014,AK,1,0,0,1,1,1,0
201900015,AK,1,0,0,1,1,0,0
201900016,AK,1,0,0,1,1,1,1
201900017,AK,0,0,0,0,0,0,0
201900018,AK,0,1,0,1,1,1,0
201900019,AK,0,0,0,0,0,0,0
201900020,AK,0,1,1,1,1,1,0
201900021,AK,0,1,1,1,1,1,0
201900022,AK,0,0,0,1,0,1,0
201900023,AK,0,0,0,0,0,0,0
201900024,AK,0,1,1,1,1,1,1
201900025,AK,0,0,0,1,1,1,1
201900026,AK,0,1,1,1,1,0,0
201900027,AK,0,1,0,1,1,1,0
201900028,AK,0,1,0,1,1,1,0
201900029,AK,0,1,0,1,1,1,1
201900030,AK,1,0,0,0,1,1,0
201900031,AK,0,1,0,1,1,1,0
201900032,AK,0,1,0,1,0,0,0
201900033,AK,0,0,1,1,1,1,1
201900034,AK,1,1,0,1,1,1,0
201900035,AK,0,1,1,1,1,1,1
201900036,AK,1,0,0,0,1,1,0
201900037,AK,0,0,0,0,1,0,0
201900038,AK,0,1,0,1,1,0,0
201900039,AK,0,0,0,0,0,0,0
201900040,AK,0,1,1,1,1,1,1
201900041,AK,0,1,1,1,1,1,1
201900042,AK,1,0,0,1,0,0,0
201900043,AK,0,1,1,1,0,0,0
201900044,AK,0,1,0,1,1,0,0
201900045,AK,0,1,1,1,1,1,1
201900046,AK,0,0,0,0,0,0,0
201900047,AK,0,1,1,1,1,1,1
201900048,AK,0,1,1,1,1,1,0
201900049,AK,0,1,0,1,1,1,0
201900050,AK,0,1,1,1,1,1,0
201900051,AK,0,1,0,1,1,1,1
201900052,AK,0,1,0,1,1,1,1
201900053,AK,0,0,0,1,1,1,0
201900054,AK,1,1,0,1,1,1,1
201900055,AK,0,1,0,1,1,0,0
201900056,AK,0,1,1,1,1,1,0
201900057,AK,1,0,0,0,0,0,0
201900058,AK,1,0,0,0,1,1,0
