state,lgbtq_total,govt_total,govt_fund
alaska,14,90,90.9090909090909
alabama,17,175,90.67357512953367
arkansas,11,164,69.7872340425532
arizona,61,318,84.12698412698413
california,150,721,81.93181818181819
colorado,20,174,93.54838709677419
connecticut,44,199,85.40772532188842
delaware,7,27,93.10344827586206
florida,64,404,82.44897959183673
georgia,37,193,88.12785388127854
hawaii,7,41,91.11111111111111
iowa,5,142,91.61290322580645
idaho,26,150,84.7457627118644
illinois,24,325,82.90816326530613
indiana,28,271,90.03322259136213
kansas,7,106,89.07563025210085
kentucky,37,196,88.68778280542986
louisiana,19,118,63.101604278074866
massachusetts,51,256,75.51622418879056
maryland,47,235,80.47945205479452
maine,13,188,92.61083743842364
michigan,51,307,85.51532033426183
minnesota,20,209,87.08333333333333
missouri,10,193,88.12785388127854
mississippi,18,152,83.97790055248619
montana,13,85,96.5909090909091
north carolina,43,250,82.23684210526315
north dakota,4,26,81.25
nebraska,15,126,96.92307692307692
new hampshire,14,45,72.58064516129032
new jersey,51,255,80.18867924528303
new mexico,12,65,90.27777777777779
nevada,7,38,74.50980392156863
new york,144,713,79.48717948717949
ohio,78,505,87.97909407665504
oklahoma,25,118,79.72972972972973
oregon,20,156,91.76470588235294
pennsylvania,60,482,82.25255972696246
rhode island,9,50,80.64516129032258
south carolina,10,103,85.12396694214877
south dakota,2,45,93.75
tennessee,23,251,85.95890410958904
texas,40,303,83.70165745856355
utah,10,98,84.48275862068965
virginia,27,255,93.4065934065934
vermont,15,67,88.1578947368421
washington,34,255,90.10600706713781
wisconsin,45,350,81.3953488372093
west virginia,7,99,87.61061946902655
wyoming,8,50,98.0392156862745
