state,lgbtq_total,govt_total,n,lgbtq_perc,govt_fund
alaska,14,80,86,16.27906976744186,93.02325581395348
alabama,19,155,175,10.857142857142858,88.57142857142857
arkansas,20,164,218,9.174311926605505,75.22935779816514
arizona,71,308,372,19.086021505376344,82.79569892473118
california,171,712,866,19.7459584295612,82.21709006928405
colorado,21,167,185,11.351351351351353,90.27027027027027
connecticut,56,182,216,25.925925925925924,84.25925925925925
delaware,12,30,33,36.36363636363637,90.9090909090909
florida,75,381,469,15.991471215351813,81.2366737739872
georgia,42,170,200,21,85
hawaii,8,31,35,22.857142857142858,88.57142857142857
iowa,11,136,150,7.333333333333333,90.66666666666666
idaho,26,124,146,17.80821917808219,84.93150684931507
illinois,26,318,389,6.683804627249357,81.74807197943444
indiana,34,256,275,12.363636363636363,93.0909090909091
kansas,13,112,123,10.569105691056912,91.05691056910568
kentucky,31,183,208,14.903846153846153,87.98076923076923
louisiana,25,108,176,14.204545454545455,61.36363636363637
massachusetts,68,245,315,21.58730158730159,77.77777777777779
maryland,57,201,264,21.59090909090909,76.13636363636364
maine,16,169,186,8.60215053763441,90.86021505376344
michigan,53,287,337,15.727002967359049,85.16320474777447
minnesota,27,194,224,12.053571428571429,86.60714285714286
missouri,14,188,212,6.60377358490566,88.67924528301887
mississippi,24,144,173,13.872832369942195,83.23699421965318
montana,11,84,87,12.643678160919542,96.55172413793103
north carolina,43,209,257,16.731517509727624,81.32295719844358
north dakota,4,25,32,12.5,78.125
nebraska,19,129,133,14.285714285714285,96.99248120300751
new hampshire,21,50,63,33.33333333333333,79.36507936507937
new jersey,57,242,306,18.627450980392158,79.08496732026144
new mexico,12,50,58,20.689655172413794,86.20689655172413
nevada,8,39,46,17.391304347826086,84.78260869565217
new york,153,668,843,18.14946619217082,79.24080664294188
ohio,96,487,551,17.422867513611614,88.38475499092559
oklahoma,32,118,143,22.377622377622377,82.51748251748252
oregon,26,142,156,16.666666666666664,91.02564102564102
pennsylvania,81,472,571,14.185639229422067,82.66199649737302
rhode island,9,47,56,16.071428571428573,83.92857142857143
south carolina,19,93,109,17.431192660550458,85.3211009174312
south dakota,2,47,51,3.9215686274509802,92.15686274509804
tennessee,26,248,274,9.48905109489051,90.51094890510949
texas,47,287,341,13.78299120234604,84.1642228739003
utah,16,122,138,11.594202898550725,88.40579710144928
virginia,34,250,265,12.830188679245284,94.33962264150944
vermont,20,65,74,27.027027027027028,87.83783783783784
washington,52,287,317,16.40378548895899,90.53627760252367
wisconsin,59,347,420,14.047619047619047,82.61904761904762
west virginia,9,102,114,7.894736842105263,89.47368421052632
wyoming,6,42,42,14.285714285714285,100
