state,lgbtq_total,govt_total,lgbtq_perc,govt_fund
alaska,14,83,15.384615384615385,91.20879120879121
alabama,17,154,9.6045197740113,87.00564971751412
arkansas,33,169,14.537444933920703,74.44933920704845
arizona,92,315,25.205479452054796,86.3013698630137
california,215,703,25.26439482961222,82.6086956521739
colorado,28,162,15.384615384615385,89.01098901098901
connecticut,73,194,32.158590308370044,85.46255506607929
delaware,9,33,25,91.66666666666666
florida,93,372,19.294605809128633,77.17842323651453
georgia,48,183,21.91780821917808,83.56164383561644
hawaii,9,34,23.684210526315788,89.47368421052632
iowa,18,125,12.76595744680851,88.65248226950354
idaho,26,110,20.47244094488189,86.61417322834646
illinois,41,301,11.263736263736265,82.6923076923077
indiana,36,268,12.5,93.05555555555556
kansas,15,109,12.396694214876034,90.08264462809917
kentucky,27,187,12.558139534883722,86.9767441860465
louisiana,36,105,19.78021978021978,57.692307692307686
massachusetts,71,244,23.278688524590162,80
maryland,62,184,25.101214574898783,74.49392712550608
maine,19,163,10.555555555555555,90.55555555555556
michigan,64,297,18.13031161473088,84.13597733711048
minnesota,39,204,16.595744680851062,86.80851063829788
missouri,21,182,9.95260663507109,86.25592417061611
mississippi,27,138,15.789473684210526,80.7017543859649
montana,12,80,14.457831325301203,96.3855421686747
north carolina,47,233,16.376306620209057,81.18466898954703
north dakota,7,28,20.588235294117645,82.35294117647058
nebraska,19,131,13.970588235294118,96.32352941176471
new hampshire,14,46,24.137931034482758,79.3103448275862
new jersey,64,251,20.447284345047922,80.19169329073482
new mexico,18,60,27.692307692307693,92.3076923076923
nevada,10,40,20.833333333333336,83.33333333333334
new york,166,667,19.644970414201183,78.93491124260355
ohio,95,494,16.873889875666073,87.74422735346359
oklahoma,32,123,21.91780821917808,84.24657534246576
oregon,26,147,15.853658536585366,89.63414634146342
pennsylvania,93,454,16.577540106951872,80.92691622103388
rhode island,11,44,19.642857142857142,78.57142857142857
south carolina,18,92,17.142857142857142,87.61904761904762
south dakota,3,44,6.122448979591836,89.79591836734694
tennessee,35,249,12.63537906137184,89.89169675090253
texas,51,279,15.133531157270031,82.7893175074184
utah,23,132,15.2317880794702,87.41721854304636
virginia,44,232,17.813765182186234,93.92712550607287
vermont,18,64,24.65753424657534,87.67123287671232
washington,64,311,17.97752808988764,87.35955056179775
wisconsin,74,342,18.271604938271604,84.44444444444444
west virginia,13,111,10.743801652892563,91.73553719008265
wyoming,9,47,18.75,97.91666666666666
