state,lgbtq_total,govt_total
alaska,17,80
alabama,17,140
arkansas,36,138
arizona,108,325
california,303,695
colorado,40,152
connecticut,92,185
delaware,9,27
florida,110,354
georgia,59,181
hawaii,8,30
iowa,19,120
idaho,38,113
illinois,75,272
indiana,38,239
kansas,22,88
kentucky,27,175
louisiana,48,79
massachusetts,78,203
maryland,82,158
maine,23,152
michigan,70,273
minnesota,46,196
missouri,28,169
mississippi,28,126
montana,11,75
north carolina,69,216
north dakota,5,24
nebraska,25,130
new hampshire,17,44
new jersey,84,225
new mexico,12,56
nevada,28,46
new york,232,494
ohio,130,485
oklahoma,25,108
oregon,47,151
pennsylvania,121,438
rhode island,11,43
south carolina,16,83
south dakota,4,42
tennessee,44,234
texas,81,276
utah,61,177
virginia,57,258
vermont,16,54
washington,83,305
wisconsin,94,311
west virginia,10,104
wyoming,11,42
