state,case_state,year,lgbtq_total,govt_total,lgbtq_perc,govt_fund,t,state_policy,temp_id,t2,l_lgbtq_total,l_state_policy,l_govt_fund,l2_lgbtq_total,l2_state_policy,l2_govt_fund,l3_lgbtq_total,l3_state_policy,l3_govt_fund,l4_lgbtq_total,l4_state_policy,l4_govt_fund,l5_lgbtq_total,l5_state_policy,l5_govt_fund,l6_lgbtq_total,l6_state_policy,l6_govt_fund,l_lgbtq_perc,l2_lgbtq_perc,l3_lgbtq_perc,l4_lgbtq_perc,l5_lgbtq_perc,l6_lgbtq_perc,fd_govt_fund,fd_l_govt_fund,fd_l2_govt_fund,fd_l3_govt_fund,fd_l4_govt_fund
alaska,1,2014,23,91,23,91,1,2.2988505747126435,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,2,2014,20,181,9.950248756218906,90.04975124378109,1,0,2,1,23,2.2988505747126435,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,-0.9502487562189117,NA,NA,NA,NA
arkansas,3,2014,49,185,18.49056603773585,69.81132075471697,1,20.689655172413794,3,1,20,0,90.04975124378109,23,2.2988505747126435,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.950248756218906,23,NA,NA,NA,NA,-20.238430489064115,-0.9502487562189117,NA,NA,NA
arizona,4,2014,140,361,32.11009174311927,82.79816513761467,1,20.689655172413794,4,1,49,20.689655172413794,69.81132075471697,20,0,90.04975124378109,23,2.2988505747126435,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.49056603773585,9.950248756218906,23,NA,NA,NA,12.9868443828977,-20.238430489064115,-0.9502487562189117,NA,NA
california,5,2014,280,736,31.818181818181817,83.63636363636363,1,98.85057471264368,5,1,140,20.689655172413794,82.79816513761467,49,20.689655172413794,69.81132075471697,20,0,90.04975124378109,23,2.2988505747126435,91,NA,NA,NA,NA,NA,NA,32.11009174311927,18.49056603773585,9.950248756218906,23,NA,NA,0.8381984987489517,12.9868443828977,-20.238430489064115,-0.9502487562189117,NA
colorado,6,2014,39,188,19.306930693069308,93.06930693069307,1,89.65517241379311,6,1,280,98.85057471264368,83.63636363636363,140,20.689655172413794,82.79816513761467,49,20.689655172413794,69.81132075471697,20,0,90.04975124378109,23,2.2988505747126435,91,NA,NA,NA,31.818181818181817,32.11009174311927,18.49056603773585,9.950248756218906,23,NA,9.432943294329448,0.8381984987489517,12.9868443828977,-20.238430489064115,-0.9502487562189117
connecticut,7,2014,69,219,27.490039840637447,87.25099601593625,1,89.65517241379311,7,1,39,89.65517241379311,93.06930693069307,280,98.85057471264368,83.63636363636363,140,20.689655172413794,82.79816513761467,49,20.689655172413794,69.81132075471697,20,0,90.04975124378109,23,2.2988505747126435,91,19.306930693069308,31.818181818181817,32.11009174311927,18.49056603773585,9.950248756218906,23,-5.818310914756822,9.432943294329448,0.8381984987489517,12.9868443828977,-20.238430489064115
delaware,8,2014,11,38,25.581395348837212,88.37209302325581,1,85.0574712643678,8,1,69,89.65517241379311,87.25099601593625,39,89.65517241379311,93.06930693069307,280,98.85057471264368,83.63636363636363,140,20.689655172413794,82.79816513761467,49,20.689655172413794,69.81132075471697,20,0,90.04975124378109,27.490039840637447,19.306930693069308,31.818181818181817,32.11009174311927,18.49056603773585,9.950248756218906,1.1210970073195625,-5.818310914756822,9.432943294329448,0.8381984987489517,12.9868443828977
florida,9,2014,135,458,24.725274725274726,83.88278388278388,1,9.195402298850574,9,1,11,85.0574712643678,88.37209302325581,69,89.65517241379311,87.25099601593625,39,89.65517241379311,93.06930693069307,280,98.85057471264368,83.63636363636363,140,20.689655172413794,82.79816513761467,49,20.689655172413794,69.81132075471697,25.581395348837212,27.490039840637447,19.306930693069308,31.818181818181817,32.11009174311927,18.49056603773585,-4.489309140471931,1.1210970073195625,-5.818310914756822,9.432943294329448,0.8381984987489517
georgia,10,2014,54,202,23.580786026200872,88.20960698689956,1,9.195402298850574,10,1,135,9.195402298850574,83.88278388278388,11,85.0574712643678,88.37209302325581,69,89.65517241379311,87.25099601593625,39,89.65517241379311,93.06930693069307,280,98.85057471264368,83.63636363636363,140,20.689655172413794,82.79816513761467,24.725274725274726,25.581395348837212,27.490039840637447,19.306930693069308,31.818181818181817,32.11009174311927,4.326823104115675,-4.489309140471931,1.1210970073195625,-5.818310914756822,9.432943294329448
hawaii,11,2014,18,56,28.57142857142857,88.88888888888889,1,73.5632183908046,11,1,54,9.195402298850574,88.20960698689956,135,9.195402298850574,83.88278388278388,11,85.0574712643678,88.37209302325581,69,89.65517241379311,87.25099601593625,39,89.65517241379311,93.06930693069307,280,98.85057471264368,83.63636363636363,23.580786026200872,24.725274725274726,25.581395348837212,27.490039840637447,19.306930693069308,31.818181818181817,0.6792819019893273,4.326823104115675,-4.489309140471931,1.1210970073195625,-5.818310914756822
iowa,12,2014,31,168,17.613636363636363,95.45454545454545,1,73.5632183908046,12,1,18,73.5632183908046,88.88888888888889,54,9.195402298850574,88.20960698689956,135,9.195402298850574,83.88278388278388,11,85.0574712643678,88.37209302325581,69,89.65517241379311,87.25099601593625,39,89.65517241379311,93.06930693069307,28.57142857142857,23.580786026200872,24.725274725274726,25.581395348837212,27.490039840637447,19.306930693069308,6.5656565656565675,0.6792819019893273,4.326823104115675,-4.489309140471931,1.1210970073195625
idaho,13,2014,62,186,29.523809523809526,88.57142857142857,1,11.494252873563218,13,1,31,73.5632183908046,95.45454545454545,18,73.5632183908046,88.88888888888889,54,9.195402298850574,88.20960698689956,135,9.195402298850574,83.88278388278388,11,85.0574712643678,88.37209302325581,69,89.65517241379311,87.25099601593625,17.613636363636363,28.57142857142857,23.580786026200872,24.725274725274726,25.581395348837212,27.490039840637447,-6.883116883116884,6.5656565656565675,0.6792819019893273,4.326823104115675,-4.489309140471931
illinois,14,2014,95,415,19.791666666666664,86.45833333333334,1,80.45977011494253,14,1,62,11.494252873563218,88.57142857142857,31,73.5632183908046,95.45454545454545,18,73.5632183908046,88.88888888888889,54,9.195402298850574,88.20960698689956,135,9.195402298850574,83.88278388278388,11,85.0574712643678,88.37209302325581,29.523809523809526,17.613636363636363,28.57142857142857,23.580786026200872,24.725274725274726,25.581395348837212,-2.1130952380952266,-6.883116883116884,6.5656565656565675,0.6792819019893273,4.326823104115675
indiana,15,2014,44,291,13.793103448275861,91.22257053291536,1,48.275862068965516,15,1,95,80.45977011494253,86.45833333333334,62,11.494252873563218,88.57142857142857,31,73.5632183908046,95.45454545454545,18,73.5632183908046,88.88888888888889,54,9.195402298850574,88.20960698689956,135,9.195402298850574,83.88278388278388,19.791666666666664,29.523809523809526,17.613636363636363,28.57142857142857,23.580786026200872,24.725274725274726,4.764237199582013,-2.1130952380952266,-6.883116883116884,6.5656565656565675,0.6792819019893273
kansas,16,2014,16,129,11.510791366906476,92.80575539568345,1,9.195402298850574,16,1,44,48.275862068965516,91.22257053291536,95,80.45977011494253,86.45833333333334,62,11.494252873563218,88.57142857142857,31,73.5632183908046,95.45454545454545,18,73.5632183908046,88.88888888888889,54,9.195402298850574,88.20960698689956,13.793103448275861,19.791666666666664,29.523809523809526,17.613636363636363,28.57142857142857,23.580786026200872,1.5831848627680927,4.764237199582013,-2.1130952380952266,-6.883116883116884,6.5656565656565675
