state,case_state,year,lgbtq_total,govt_fund,t,state_policy,temp_id,t2,l_lgbtq_total,l_state_policy,l_govt_fund,l2_lgbtq_total,l2_state_policy,l2_govt_fund,l3_lgbtq_total,l3_state_policy,l3_govt_fund,l4_lgbtq_total,l4_state_policy,l4_govt_fund,l5_lgbtq_total,l5_state_policy,l5_govt_fund,l6_lgbtq_total,l6_state_policy,l6_govt_fund,fd_lgbtq_total,fd_state_policy,fd_govt_fund,fd_l_lgbtq_total,fd_l_state_policy,fd_l_govt_fund,fd_l2_lgbtq_total,fd_l2_state_policy,fd_l2_govt_fund,fd_l3_lgbtq_total,fd_l3_state_policy,fd_l3_govt_fund,fd_l4_lgbtq_total,fd_l4_state_policy,fd_l4_govt_fund
arkansas,3,2014,49,185,1,20.689655172413794,3,1,20,0,181,23,2.2988505747126435,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,20.689655172413794,4,-3,-2.2988505747126435,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
arizona,4,2014,140,361,1,20.689655172413794,4,1,49,20.689655172413794,185,20,0,181,23,2.2988505747126435,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,0,176,29,20.689655172413794,4,-3,-2.2988505747126435,90,NA,NA,NA,NA,NA,NA
california,5,2014,280,736,1,98.85057471264368,5,1,140,20.689655172413794,361,49,20.689655172413794,185,20,0,181,23,2.2988505747126435,91,NA,NA,NA,NA,NA,NA,140,78.16091954022988,375,91,0,176,29,20.689655172413794,4,-3,-2.2988505747126435,90,NA,NA,NA
colorado,6,2014,39,188,1,89.65517241379311,6,1,280,98.85057471264368,736,140,20.689655172413794,361,49,20.689655172413794,185,20,0,181,23,2.2988505747126435,91,NA,NA,NA,-241,-9.195402298850567,-548,140,78.16091954022988,375,91,0,176,29,20.689655172413794,4,-3,-2.2988505747126435,90
connecticut,7,2014,69,219,1,89.65517241379311,7,1,39,89.65517241379311,188,280,98.85057471264368,736,140,20.689655172413794,361,49,20.689655172413794,185,20,0,181,23,2.2988505747126435,91,30,0,31,-241,-9.195402298850567,-548,140,78.16091954022988,375,91,0,176,29,20.689655172413794,4
delaware,8,2014,11,38,1,85.0574712643678,8,1,69,89.65517241379311,219,39,89.65517241379311,188,280,98.85057471264368,736,140,20.689655172413794,361,49,20.689655172413794,185,20,0,181,-58,-4.597701149425305,-181,30,0,31,-241,-9.195402298850567,-548,140,78.16091954022988,375,91,0,176
florida,9,2014,135,458,1,9.195402298850574,9,1,11,85.0574712643678,38,69,89.65517241379311,219,39,89.65517241379311,188,280,98.85057471264368,736,140,20.689655172413794,361,49,20.689655172413794,185,124,-75.86206896551724,420,-58,-4.597701149425305,-181,30,0,31,-241,-9.195402298850567,-548,140,78.16091954022988,375
georgia,10,2014,54,202,1,9.195402298850574,10,1,135,9.195402298850574,458,11,85.0574712643678,38,69,89.65517241379311,219,39,89.65517241379311,188,280,98.85057471264368,736,140,20.689655172413794,361,-81,0,-256,124,-75.86206896551724,420,-58,-4.597701149425305,-181,30,0,31,-241,-9.195402298850567,-548
hawaii,11,2014,18,56,1,73.5632183908046,11,1,54,9.195402298850574,202,135,9.195402298850574,458,11,85.0574712643678,38,69,89.65517241379311,219,39,89.65517241379311,188,280,98.85057471264368,736,-36,64.36781609195401,-146,-81,0,-256,124,-75.86206896551724,420,-58,-4.597701149425305,-181,30,0,31
iowa,12,2014,31,168,1,73.5632183908046,12,1,18,73.5632183908046,56,54,9.195402298850574,202,135,9.195402298850574,458,11,85.0574712643678,38,69,89.65517241379311,219,39,89.65517241379311,188,13,0,112,-36,64.36781609195401,-146,-81,0,-256,124,-75.86206896551724,420,-58,-4.597701149425305,-181
idaho,13,2014,62,186,1,11.494252873563218,13,1,31,73.5632183908046,168,18,73.5632183908046,56,54,9.195402298850574,202,135,9.195402298850574,458,11,85.0574712643678,38,69,89.65517241379311,219,31,-62.068965517241374,18,13,0,112,-36,64.36781609195401,-146,-81,0,-256,124,-75.86206896551724,420
illinois,14,2014,95,415,1,80.45977011494253,14,1,62,11.494252873563218,186,31,73.5632183908046,168,18,73.5632183908046,56,54,9.195402298850574,202,135,9.195402298850574,458,11,85.0574712643678,38,33,68.96551724137932,229,31,-62.068965517241374,18,13,0,112,-36,64.36781609195401,-146,-81,0,-256
indiana,15,2014,44,291,1,48.275862068965516,15,1,95,80.45977011494253,415,62,11.494252873563218,186,31,73.5632183908046,168,18,73.5632183908046,56,54,9.195402298850574,202,135,9.195402298850574,458,-51,-32.18390804597701,-124,33,68.96551724137932,229,31,-62.068965517241374,18,13,0,112,-36,64.36781609195401,-146
kansas,16,2014,16,129,1,9.195402298850574,16,1,44,48.275862068965516,291,95,80.45977011494253,415,62,11.494252873563218,186,31,73.5632183908046,168,18,73.5632183908046,56,54,9.195402298850574,202,-28,-39.08045977011494,-162,-51,-32.18390804597701,-124,33,68.96551724137932,229,31,-62.068965517241374,18,13,0,112
kentucky,17,2014,37,182,1,18.39080459770115,17,1,16,9.195402298850574,129,44,48.275862068965516,291,95,80.45977011494253,415,62,11.494252873563218,186,31,73.5632183908046,168,18,73.5632183908046,56,21,9.195402298850574,53,-28,-39.08045977011494,-162,-51,-32.18390804597701,-124,33,68.96551724137932,229,31,-62.068965517241374,18
louisiana,18,2014,48,120,1,9.195402298850574,18,1,37,18.39080459770115,182,16,9.195402298850574,129,44,48.275862068965516,291,95,80.45977011494253,415,62,11.494252873563218,186,31,73.5632183908046,168,11,-9.195402298850574,-62,21,9.195402298850574,53,-28,-39.08045977011494,-162,-51,-32.18390804597701,-124,33,68.96551724137932,229
massachusetts,19,2014,120,273,1,82.75862068965517,19,1,48,9.195402298850574,120,37,18.39080459770115,182,16,9.195402298850574,129,44,48.275862068965516,291,95,80.45977011494253,415,62,11.494252873563218,186,72,73.5632183908046,153,11,-9.195402298850574,-62,21,9.195402298850574,53,-28,-39.08045977011494,-162,-51,-32.18390804597701,-124
maryland,20,2014,85,243,1,73.5632183908046,20,1,120,82.75862068965517,273,48,9.195402298850574,120,37,18.39080459770115,182,16,9.195402298850574,129,44,48.275862068965516,291,95,80.45977011494253,415,-35,-9.195402298850581,-30,72,73.5632183908046,153,11,-9.195402298850574,-62,21,9.195402298850574,53,-28,-39.08045977011494,-162
maine,21,2014,46,195,1,94.25287356321839,21,1,85,73.5632183908046,243,120,82.75862068965517,273,48,9.195402298850574,120,37,18.39080459770115,182,16,9.195402298850574,129,44,48.275862068965516,291,-39,20.689655172413794,-48,-35,-9.195402298850581,-30,72,73.5632183908046,153,11,-9.195402298850574,-62,21,9.195402298850574,53
michigan,22,2014,70,301,1,4.597701149425287,22,1,46,94.25287356321839,195,85,73.5632183908046,243,120,82.75862068965517,273,48,9.195402298850574,120,37,18.39080459770115,182,16,9.195402298850574,129,24,-89.6551724137931,106,-39,20.689655172413794,-48,-35,-9.195402298850581,-30,72,73.5632183908046,153,11,-9.195402298850574,-62
minnesota,23,2014,45,221,1,71.26436781609196,23,1,70,4.597701149425287,301,46,94.25287356321839,195,85,73.5632183908046,243,120,82.75862068965517,273,48,9.195402298850574,120,37,18.39080459770115,182,-25,66.66666666666667,-80,24,-89.6551724137931,106,-39,20.689655172413794,-48,-35,-9.195402298850581,-30,72,73.5632183908046,153
missouri,24,2014,62,201,1,13.793103448275861,24,1,45,71.26436781609196,221,70,4.597701149425287,301,46,94.25287356321839,195,85,73.5632183908046,243,120,82.75862068965517,273,48,9.195402298850574,120,17,-57.471264367816104,-20,-25,66.66666666666667,-80,24,-89.6551724137931,106,-39,20.689655172413794,-48,-35,-9.195402298850581,-30
mississippi,25,2014,49,171,1,4.597701149425287,25,1,62,13.793103448275861,201,45,71.26436781609196,221,70,4.597701149425287,301,46,94.25287356321839,195,85,73.5632183908046,243,120,82.75862068965517,273,-13,-9.195402298850574,-30,17,-57.471264367816104,-20,-25,66.66666666666667,-80,24,-89.6551724137931,106,-39,20.689655172413794,-48
montana,26,2014,21,102,1,11.494252873563218,26,1,49,4.597701149425287,171,62,13.793103448275861,201,45,71.26436781609196,221,70,4.597701149425287,301,46,94.25287356321839,195,85,73.5632183908046,243,-28,6.896551724137931,-69,-13,-9.195402298850574,-30,17,-57.471264367816104,-20,-25,66.66666666666667,-80,24,-89.6551724137931,106
north carolina,27,2014,92,337,1,16.091954022988507,27,1,21,11.494252873563218,102,49,4.597701149425287,171,62,13.793103448275861,201,45,71.26436781609196,221,70,4.597701149425287,301,46,94.25287356321839,195,71,4.597701149425289,235,-28,6.896551724137931,-69,-13,-9.195402298850574,-30,17,-57.471264367816104,-20,-25,66.66666666666667,-80
north dakota,28,2014,6,28,1,4.597701149425287,28,1,92,16.091954022988507,337,21,11.494252873563218,102,49,4.597701149425287,171,62,13.793103448275861,201,45,71.26436781609196,221,70,4.597701149425287,301,-86,-11.49425287356322,-309,71,4.597701149425289,235,-28,6.896551724137931,-69,-13,-9.195402298850574,-30,17,-57.471264367816104,-20
nebraska,29,2014,16,106,1,13.793103448275861,29,1,6,4.597701149425287,28,92,16.091954022988507,337,21,11.494252873563218,102,49,4.597701149425287,171,62,13.793103448275861,201,45,71.26436781609196,221,10,9.195402298850574,78,-86,-11.49425287356322,-309,71,4.597701149425289,235,-28,6.896551724137931,-69,-13,-9.195402298850574,-30
new hampshire,30,2014,17,45,1,68.96551724137932,30,1,16,13.793103448275861,106,6,4.597701149425287,28,92,16.091954022988507,337,21,11.494252873563218,102,49,4.597701149425287,171,62,13.793103448275861,201,1,55.17241379310346,-61,10,9.195402298850574,78,-86,-11.49425287356322,-309,71,4.597701149425289,235,-28,6.896551724137931,-69
