state,case_state,year,lgbtq_total,govt_total,lgbtq_perc,govt_fund,t,state_policy,temp_id
alaska,1,2014,23,91,23,91,1,2.2988505747126435,1
alabama,2,2014,20,181,9.950248756218906,90.04975124378109,1,0,2
arkansas,3,2014,49,185,18.49056603773585,69.81132075471697,1,20.689655172413794,3
arizona,4,2014,140,361,32.11009174311927,82.79816513761467,1,20.689655172413794,4
california,5,2014,280,736,31.818181818181817,83.63636363636363,1,98.85057471264368,5
colorado,6,2014,39,188,19.306930693069308,93.06930693069307,1,89.65517241379311,6
connecticut,7,2014,69,219,27.490039840637447,87.25099601593625,1,89.65517241379311,7
delaware,8,2014,11,38,25.581395348837212,88.37209302325581,1,85.0574712643678,8
florida,9,2014,135,458,24.725274725274726,83.88278388278388,1,9.195402298850574,9
georgia,10,2014,54,202,23.580786026200872,88.20960698689956,1,9.195402298850574,10
hawaii,11,2014,18,56,28.57142857142857,88.88888888888889,1,73.5632183908046,11
iowa,12,2014,31,168,17.613636363636363,95.45454545454545,1,73.5632183908046,12
idaho,13,2014,62,186,29.523809523809526,88.57142857142857,1,11.494252873563218,13
illinois,14,2014,95,415,19.791666666666664,86.45833333333334,1,80.45977011494253,14
indiana,15,2014,44,291,13.793103448275861,91.22257053291536,1,48.275862068965516,15
kansas,16,2014,16,129,11.510791366906476,92.80575539568345,1,9.195402298850574,16
kentucky,17,2014,37,182,18.048780487804876,88.78048780487805,1,18.39080459770115,17
louisiana,18,2014,48,120,27.27272727272727,68.18181818181817,1,9.195402298850574,18
massachusetts,19,2014,120,273,33.89830508474576,77.11864406779661,1,82.75862068965517,19
maryland,20,2014,85,243,27.508090614886733,78.64077669902912,1,73.5632183908046,20
maine,21,2014,46,195,22.00956937799043,93.30143540669856,1,94.25287356321839,21
michigan,22,2014,70,301,19.718309859154928,84.78873239436619,1,4.597701149425287,22
minnesota,23,2014,45,221,18.672199170124482,91.70124481327801,1,71.26436781609196,23
missouri,24,2014,62,201,27.43362831858407,88.93805309734513,1,13.793103448275861,24
mississippi,25,2014,49,171,23.67149758454106,82.6086956521739,1,4.597701149425287,25
montana,26,2014,21,102,19.444444444444446,94.44444444444444,1,11.494252873563218,26
north carolina,27,2014,92,337,23.29113924050633,85.31645569620252,1,16.091954022988507,27
north dakota,28,2014,6,28,20.689655172413794,96.55172413793103,1,4.597701149425287,28
nebraska,29,2014,16,106,14.035087719298245,92.98245614035088,1,13.793103448275861,29
new hampshire,30,2014,17,45,26.153846153846157,69.23076923076923,1,68.96551724137932,30
new jersey,31,2014,79,283,22.443181818181817,80.39772727272727,1,91.95402298850574,31
new mexico,32,2014,23,62,33.82352941176471,91.17647058823529,1,73.5632183908046,32
nevada,33,2014,12,35,26.08695652173913,76.08695652173914,1,71.26436781609196,33
new york,34,2014,334,887,30.090090090090087,79.90990990990991,1,66.66666666666666,34
ohio,35,2014,121,511,20.790378006872853,87.80068728522336,1,2.2988505747126435,35
oklahoma,36,2014,37,130,22.5609756097561,79.26829268292683,1,29.88505747126437,36
oregon,37,2014,41,181,21.1340206185567,93.29896907216495,1,98.85057471264368,37
pennsylvania,38,2014,142,528,22.362204724409448,83.14960629921259,1,48.275862068965516,38
rhode island,39,2014,11,55,16.176470588235293,80.88235294117648,1,80.45977011494253,39
south carolina,40,2014,26,107,19.548872180451127,80.45112781954887,1,4.597701149425287,40
south dakota,41,2014,15,51,27.27272727272727,92.72727272727272,1,4.597701149425287,41
tennessee,42,2014,57,272,17.75700934579439,84.73520249221184,1,4.597701149425287,42
texas,43,2014,68,299,20,87.94117647058823,1,16.091954022988507,43
utah,44,2014,29,103,24.369747899159663,86.5546218487395,1,16.091954022988507,44
virginia,45,2014,71,294,22.468354430379748,93.0379746835443,1,39.08045977011494,45
vermont,46,2014,20,78,23.52941176470588,91.76470588235294,1,89.65517241379311,46
washington,47,2014,54,241,20.76923076923077,92.6923076923077,1,89.65517241379311,47
wisconsin,48,2014,116,378,25.108225108225106,81.81818181818183,1,73.5632183908046,48
west virginia,49,2014,24,104,20.51282051282051,88.88888888888889,1,9.195402298850574,49
wyoming,50,2014,16,54,29.09090909090909,98.18181818181819,1,6.896551724137931,50
alaska,1,2015,17,95,16.50485436893204,92.23300970873787,2,11.39240506329114,51
alabama,2,2015,16,178,8.121827411167512,90.35532994923858,2,0,52
arkansas,3,2015,20,188,7.722007722007722,72.58687258687259,2,8.860759493670885,53
arizona,4,2015,87,316,22.53886010362694,81.86528497409327,2,12.025316455696203,54
california,5,2015,210,757,23.001095290251918,82.91347207009858,2,76.58227848101265,55
colorado,6,2015,42,190,20.689655172413794,93.59605911330048,2,60.12658227848101,56
connecticut,7,2015,47,206,19.502074688796682,85.47717842323651,2,62.0253164556962,57
delaware,8,2015,9,28,29.03225806451613,90.32258064516128,2,40.50632911392405,58
florida,9,2015,112,430,21.414913957934992,82.21797323135756,2,17.088607594936708,59
georgia,10,2015,51,200,21.610169491525426,84.7457627118644,2,3.79746835443038,60
hawaii,11,2015,8,41,17.02127659574468,87.2340425531915,2,41.77215189873418,61
iowa,12,2015,10,152,6.024096385542169,91.56626506024097,2,35.44303797468354,62
idaho,13,2015,54,170,27.1356783919598,85.42713567839196,2,12.025316455696203,63
illinois,14,2015,46,371,10.290827740492169,82.99776286353467,2,56.32911392405063,64
indiana,15,2015,31,279,10.197368421052632,91.77631578947368,2,15.18987341772152,65
kansas,16,2015,10,117,7.6923076923076925,90,2,13.924050632911392,66
kentucky,17,2015,37,189,16.972477064220186,86.69724770642202,2,11.39240506329114,67
louisiana,18,2015,31,118,16.666666666666664,63.44086021505376,2,2.5316455696202533,68
massachusetts,19,2015,74,266,21.764705882352942,78.23529411764706,2,61.39240506329114,69
maryland,20,2015,81,246,26.557377049180324,80.65573770491802,2,48.10126582278481,70
maine,21,2015,22,201,10.138248847926267,92.62672811059907,2,55.69620253164557,71
michigan,22,2015,52,312,13.866666666666665,83.2,2,3.79746835443038,72
minnesota,23,2015,31,215,12.757201646090536,88.47736625514403,2,48.10126582278481,73
missouri,24,2015,47,205,19.747899159663866,86.1344537815126,2,6.329113924050633,74
mississippi,25,2015,36,173,17.142857142857142,82.38095238095238,2,2.5316455696202533,75
montana,26,2015,21,93,21.649484536082475,95.87628865979381,2,7.59493670886076,76
north carolina,27,2015,62,289,18.128654970760234,84.50292397660819,2,10.126582278481013,77
north dakota,28,2015,5,33,15.151515151515152,100,2,6.329113924050633,78
nebraska,29,2015,23,115,18.852459016393443,94.26229508196722,2,8.227848101265822,79
new hampshire,30,2015,14,49,20.8955223880597,73.13432835820896,2,27.848101265822784,80
new jersey,31,2015,51,264,15.223880597014924,78.80597014925374,2,64.55696202531645,81
new mexico,32,2015,19,71,24.675324675324674,92.20779220779221,2,41.77215189873418,82
nevada,33,2015,13,36,25,69.23076923076923,2,47.46835443037975,83
new york,34,2015,238,756,24.16243654822335,76.751269035533,2,51.26582278481012,84
ohio,35,2015,93,524,15.789473684210526,88.96434634974533,2,13.291139240506327,85
oklahoma,36,2015,24,121,16,80.66666666666666,2,6.329113924050633,86
oregon,37,2015,28,172,15.135135135135137,92.97297297297298,2,74.68354430379746,87
pennsylvania,38,2015,107,513,17.483660130718953,83.82352941176471,2,17.72151898734177,88
rhode island,39,2015,6,51,9.375,79.6875,2,58.22784810126582,89
south carolina,40,2015,16,108,12.121212121212121,81.81818181818183,2,3.79746835443038,90
south dakota,41,2015,9,51,16.666666666666664,94.44444444444444,2,8.860759493670885,91
tennessee,42,2015,37,265,11.78343949044586,84.39490445859873,2,1.2658227848101267,92
texas,43,2015,63,316,16.49214659685864,82.72251308900523,2,10.126582278481013,93
utah,44,2015,17,96,15.315315315315313,86.48648648648648,2,22.78481012658228,94
virginia,45,2015,48,267,16.608996539792386,92.38754325259517,2,6.329113924050633,95
vermont,46,2015,13,69,17.105263157894736,90.78947368421053,2,66.45569620253164,96
washington,47,2015,51,243,19.172932330827066,91.35338345864662,2,64.55696202531645,97
wisconsin,48,2015,77,362,17.073170731707318,80.26607538802661,2,29.746835443037973,98
west virginia,49,2015,17,106,13.709677419354838,85.48387096774194,2,13.924050632911392,99
wyoming,50,2015,9,52,16.666666666666664,96.29629629629629,2,8.860759493670885,100
alaska,1,2016,14,90,14.14141414141414,90.9090909090909,3,12.987012987012985,101
alabama,2,2016,17,175,8.808290155440414,90.67357512953367,3,0,102
arkansas,3,2016,11,164,4.680851063829787,69.7872340425532,3,6.493506493506493,103
arizona,4,2016,61,318,16.137566137566136,84.12698412698413,3,8.441558441558442,104
