region,state,lgbtq_total
alabama,AL,26
alaska,AK,12
arizona,AZ,127
arkansas,AR,34
california,CA,582
colorado,CO,101
connecticut,CT,59
delaware,DE,12
florida,FL,213
georgia,GA,89
hawaii,HI,28
idaho,ID,25
illinois,IL,141
indiana,IN,61
iowa,IA,24
kansas,KS,28
kentucky,KY,91
louisiana,LA,42
maine,ME,34
maryland,MD,128
massachusetts,MA,120
michigan,MI,107
minnesota,MN,81
mississippi,MS,22
missouri,MO,35
montana,MT,22
nebraska,NE,19
nevada,NV,44
new hampshire,NH,33
new jersey,NJ,131
new mexico,NM,58
new york,NY,230
north carolina,NC,185
north dakota,ND,4
ohio,OH,114
oklahoma,OK,55
oregon,OR,51
pennsylvania,PA,133
rhode island,RI,14
south carolina,SC,14
south dakota,SD,9
tennessee,TN,60
texas,TX,125
utah,UT,117
vermont,VT,6
virginia,VA,49
washington,WA,69
west virginia,WV,27
wisconsin,WI,42
wyoming,WY,17
