region,state,n,lgbtq_total,govt_total,lgbtq_perc,govt_fund,perc_confirmed,lgbtq_actual,lgbtq_perc_actual
alaska,AK,95,3,73,3.1578947368421053,76.84210526315789,0,0,0
alabama,AL,148,5,91,3.3783783783783785,61.48648648648649,0.03846153846153846,0.1923076923076923,0.12993762993762992
arkansas,AR,95,8,68,8.421052631578947,71.57894736842105,0.02941176470588235,0.2352941176470588,0.24767801857585137
arizona,AZ,329,28,158,8.51063829787234,48.02431610942249,0.14960629921259844,4.1889763779527565,1.2732450996816889
california,CA,1611,142,963,8.814400993171944,59.77653631284916,0.15120274914089346,21.47079037800687,1.3327616621978196
colorado,CO,443,36,220,8.126410835214447,49.66139954853273,0.15841584158415842,5.702970297029703,1.2873522115191203
connecticut,CT,223,17,157,7.623318385650224,70.4035874439462,0.06779661016949153,1.152542372881356,0.5168351447898457
delaware,DE,40,5,27,12.5,67.5,0.08333333333333333,0.41666666666666663,1.0416666666666665
florida,FL,648,51,318,7.87037037037037,49.074074074074076,0.12206572769953052,6.225352112676056,0.9607024865240827
georgia,GA,278,13,116,4.676258992805756,41.726618705035975,0.10112359550561796,1.3146067415730336,0.47288012286799774
hawaii,HI,122,9,106,7.377049180327869,86.88524590163934,0,0,0
iowa,IA,145,13,93,8.96551724137931,64.13793103448275,0.125,1.625,1.1206896551724137
idaho,ID,107,4,67,3.7383177570093453,62.616822429906534,0.08,0.32,0.29906542056074764
illinois,IL,628,30,320,4.777070063694268,50.955414012738856,0.11347517730496454,3.404255319148936,0.5420788724759452
indiana,IN,277,5,170,1.8050541516245486,61.371841155234655,0.04918032786885246,0.2459016393442623,0.08877315499792864
kansas,KS,227,4,127,1.762114537444934,55.947136563876654,0.14285714285714285,0.5714285714285714,0.2517306482064191
kentucky,KY,324,14,157,4.320987654320987,48.45679012345679,0.07692307692307693,1.076923076923077,0.33238366571699907
louisiana,LA,150,8,90,5.333333333333334,60,0,0,0
massachusetts,MA,328,23,225,7.01219512195122,68.59756097560977,0.13333333333333333,3.0666666666666664,0.9349593495934958
maryland,MD,362,21,179,5.801104972375691,49.447513812154696,0.109375,2.296875,0.6344958563535912
maine,ME,223,13,75,5.829596412556054,33.6322869955157,0.2647058823529412,3.4411764705882355,1.5431284621471908
michigan,MI,489,35,279,7.157464212678937,57.05521472392638,0.16822429906542055,5.887850467289719,1.2040594002637464
minnesota,MN,347,16,185,4.610951008645533,53.31412103746398,0.13580246913580246,2.1728395061728394,0.6261785320382822
missouri,MO,283,8,220,2.8268551236749118,77.73851590106007,0.05714285714285714,0.45714285714285713,0.16153457849570924
mississippi,MS,113,3,77,2.6548672566371683,68.14159292035397,0.13636363636363635,0.40909090909090906,0.3620273531777956
montana,MT,69,3,54,4.3478260869565215,78.26086956521739,0.04545454545454545,0.13636363636363635,0.1976284584980237
north carolina,NC,464,22,194,4.741379310344827,41.810344827586206,0.06486486486486487,1.427027027027027,0.30754892823858343
north dakota,ND,64,2,24,3.125,37.5,0.25,0.5,0.78125
nebraska,NE,123,5,96,4.0650406504065035,78.04878048780488,0.3684210526315789,1.8421052631578947,1.4976465554129226
new hampshire,NH,59,NA,35,NA,59.32203389830508,0,NA,NA
new jersey,NJ,375,19,212,5.066666666666666,56.53333333333334,0.09923664122137404,1.8854961832061068,0.5027989821882951
new mexico,NM,155,10,121,6.451612903225806,78.06451612903226,0.13793103448275862,1.3793103448275863,0.8898776418242491
nevada,NV,87,6,51,6.896551724137931,58.620689655172406,0.1590909090909091,0.9545454545454546,1.09717868338558
new york,NY,933,67,540,7.181136120042872,57.87781350482315,0.1391304347826087,9.321739130434782,0.9991145906146603
ohio,OH,384,13,276,3.3854166666666665,71.875,0.12280701754385964,1.5964912280701753,0.4157529239766081
oklahoma,OK,218,17,124,7.79816513761468,56.88073394495413,0.12727272727272726,2.1636363636363636,0.9924937447873228
oregon,OR,236,17,150,7.203389830508475,63.559322033898304,0.0784313725490196,1.3333333333333333,0.5649717514124294
pennsylvania,PA,557,39,313,7.001795332136446,56.193895870736085,0.22556390977443608,8.796992481203008,1.579352330557093
rhode island,RI,63,3,41,4.761904761904762,65.07936507936508,0.14285714285714285,0.42857142857142855,0.6802721088435374
south carolina,SC,102,3,55,2.941176470588235,53.92156862745098,0.07142857142857142,0.21428571428571427,0.21008403361344538
south dakota,SD,67,2,51,2.9850746268656714,76.11940298507463,0.1111111111111111,0.2222222222222222,0.33167495854063017
tennessee,TN,239,8,157,3.3472803347280333,65.69037656903765,0.05,0.4,0.1673640167364017
texas,TX,478,19,258,3.9748953974895396,53.97489539748954,0.096,1.824,0.3815899581589958
utah,UT,168,10,85,5.952380952380952,50.595238095238095,0.1282051282051282,1.282051282051282,0.763125763125763
virginia,VA,232,3,143,1.293103448275862,61.63793103448276,0.08163265306122448,0.24489795918367346,0.1055594651653765
vermont,VT,43,3,33,6.976744186046512,76.74418604651163,0.3333333333333333,1,2.3255813953488373
washington,WA,469,14,257,2.9850746268656714,54.79744136460555,0.11594202898550723,1.6231884057971013,0.3460956089119619
wisconsin,WI,337,13,177,3.857566765578635,52.52225519287834,0.04761904761904761,0.619047619047619,0.1836936555037445
west virginia,WV,93,3,68,3.225806451612903,73.11827956989248,0,0,0
wyoming,WY,54,3,47,5.555555555555555,87.03703703703704,0.0588235294117647,0.1764705882352941,0.326797385620915
