region,state,n,lgbtq_total,lgbtq_perc,govt_fund,govt_total,perc_confirmed,lgbtq_actual,lgbtq_perc_actual
alaska,AK,91,10,10.989010989010989,NA,NA,0,0,0
alabama,AL,144,18,12.5,NA,NA,0.03846153846153846,0.6923076923076922,0.4807692307692307
arkansas,AR,81,12,14.814814814814813,NA,NA,0.02941176470588235,0.3529411764705882,0.43572984749455335
arizona,AZ,317,68,21.451104100946374,NA,NA,0.14960629921259844,10.173228346456694,3.2092202985667804
california,CA,1454,318,21.8707015130674,NA,NA,0.15120274914089346,48.08247422680412,3.3069101944156896
colorado,CO,452,89,19.690265486725664,NA,NA,0.15841584158415842,14.099009900990099,3.1192499780951546
connecticut,CT,204,43,21.07843137254902,NA,NA,0.06779661016949153,2.9152542372881354,1.429046194749086
delaware,DE,39,12,30.76923076923077,NA,NA,0.08333333333333333,1,2.564102564102564
florida,FL,657,143,21.765601217656013,NA,NA,0.12206572769953052,17.455399061032864,2.6568339514509685
georgia,GA,353,69,19.54674220963173,NA,NA,0.10112359550561796,6.977528089887639,1.9766368526593878
hawaii,HI,177,13,7.344632768361582,NA,NA,0,0,0
iowa,IA,152,9,5.921052631578947,NA,NA,0.125,1.125,0.7401315789473684
idaho,ID,125,18,14.399999999999999,NA,NA,0.08,1.44,1.152
illinois,IL,682,88,12.903225806451612,NA,NA,0.11347517730496454,9.98581560283688,1.464195836193091
indiana,IN,269,17,6.319702602230483,NA,NA,0.04918032786885246,0.8360655737704918,0.31080504601133524
kansas,KS,204,29,14.215686274509803,NA,NA,0.14285714285714285,4.142857142857142,2.030812324929972
kentucky,KY,347,56,16.138328530259365,NA,NA,0.07692307692307693,4.307692307692308,1.2414098869430283
louisiana,LA,159,24,15.09433962264151,NA,NA,0,0,0
massachusetts,MA,339,78,23.008849557522122,NA,NA,0.13333333333333333,10.4,3.0678466076696163
maryland,MD,375,60,16,NA,NA,0.109375,6.5625,1.7500000000000002
maine,ME,225,31,13.777777777777779,NA,NA,0.2647058823529412,8.205882352941176,3.6470588235294117
michigan,MI,478,72,15.062761506276152,NA,NA,0.16822429906542055,12.11214953271028,2.5339224963829037
minnesota,MN,369,56,15.176151761517614,NA,NA,0.13580246913580246,7.604938271604938,2.0609588811937503
missouri,MO,267,22,8.239700374531834,NA,NA,0.05714285714285714,1.2571428571428571,0.4708400214018192
mississippi,MS,96,10,10.416666666666668,NA,NA,0.13636363636363635,1.3636363636363635,1.4204545454545454
montana,MT,69,5,7.246376811594203,NA,NA,0.04545454545454545,0.22727272727272724,0.3293807641633728
north carolina,NC,436,75,17.201834862385322,NA,NA,0.06486486486486487,4.864864864864865,1.1157946937763452
north dakota,ND,67,11,16.417910447761194,NA,NA,0.25,2.75,4.104477611940299
nebraska,NE,113,14,12.389380530973451,NA,NA,0.3684210526315789,5.157894736842105,4.56450861667443
new hampshire,NH,48,4,8.333333333333332,NA,NA,0,0,0
new jersey,NJ,362,70,19.337016574585636,NA,NA,0.09923664122137404,6.9465648854961835,1.918940576103918
new mexico,NM,124,35,28.225806451612907,NA,NA,0.13793103448275862,4.827586206896552,3.8932146829810903
nevada,NV,77,12,15.584415584415584,NA,NA,0.1590909090909091,1.9090909090909092,2.479338842975207
new york,NY,935,142,15.187165775401072,NA,NA,0.1391304347826087,19.756521739130434,2.1129969774471054
ohio,OH,378,46,12.16931216931217,NA,NA,0.12280701754385964,5.649122807017544,1.4944769330734242
oklahoma,OK,214,33,15.42056074766355,NA,NA,0.12727272727272726,4.199999999999999,1.962616822429906
oregon,OR,239,39,16.317991631799163,NA,NA,0.0784313725490196,3.0588235294117645,1.2798424809254245
pennsylvania,PA,544,93,17.09558823529412,NA,NA,0.22556390977443608,20.977443609022554,3.856147722246793
rhode island,RI,61,8,13.114754098360656,NA,NA,0.14285714285714285,1.1428571428571428,1.873536299765808
south carolina,SC,110,12,10.909090909090908,NA,NA,0.07142857142857142,0.8571428571428571,0.7792207792207793
south dakota,SD,70,9,12.857142857142856,NA,NA,0.1111111111111111,1,1.4285714285714286
tennessee,TN,213,21,9.859154929577464,NA,NA,0.05,1.05,0.49295774647887325
texas,TX,480,76,15.833333333333332,NA,NA,0.096,7.296,1.52
utah,UT,178,45,25.280898876404496,NA,NA,0.1282051282051282,5.769230769230768,3.2411408815903195
virginia,VA,223,19,8.520179372197308,NA,NA,0.08163265306122448,1.5510204081632653,0.6955248467099844
vermont,VT,47,5,10.638297872340425,NA,NA,0.3333333333333333,1.6666666666666665,3.546099290780141
washington,WA,442,55,12.44343891402715,NA,NA,0.11594202898550723,6.376811594202898,1.4427175552495242
wisconsin,WI,307,45,14.65798045602606,NA,NA,0.04761904761904761,2.1428571428571423,0.697999069334574
west virginia,WV,105,17,16.19047619047619,NA,NA,0,0,0
wyoming,WY,60,9,15,NA,NA,0.0588235294117647,0.5294117647058822,0.8823529411764705
