region,state,lgbtq_total,lgbtq_perc,govt_fund
alaska,AK,13,13.829787234042554,74.46808510638297
alabama,AL,20,14.705882352941178,58.08823529411765
arkansas,AR,15,13.274336283185843,52.21238938053098
arizona,AZ,70,19.553072625698324,43.296089385474865
california,CA,354,24.755244755244753,51.11888111888112
colorado,CO,82,20.551378446115287,46.11528822055138
connecticut,CT,54,24.107142857142858,74.55357142857143
delaware,DE,12,25.53191489361702,53.191489361702125
florida,FL,159,22.206703910614525,40.642458100558656
georgia,GA,53,16.878980891719745,32.1656050955414
hawaii,HI,19,10.919540229885058,89.65517241379311
iowa,IA,13,7.975460122699387,62.57668711656442
idaho,ID,30,20.97902097902098,51.74825174825175
illinois,IL,87,12.88888888888889,47.25925925925926
indiana,IN,28,10.566037735849058,55.471698113207545
kansas,KS,30,14.925373134328357,52.736318407960205
kentucky,KY,49,13.498622589531681,42.69972451790633
louisiana,LA,21,13.375796178343949,57.324840764331206
massachusetts,MA,94,26.478873239436616,61.408450704225345
maryland,MD,92,22.885572139303484,36.81592039800995
maine,ME,41,17.903930131004365,29.257641921397383
michigan,MI,74,15.44885177453027,54.90605427974948
minnesota,MN,55,14.864864864864865,40.54054054054054
missouri,MO,25,8.741258741258742,76.22377622377621
mississippi,MS,13,13.684210526315791,65.26315789473685
montana,MT,12,18.75,81.25
north carolina,NC,105,21.472392638036812,38.036809815950924
north dakota,ND,5,8.333333333333332,35
nebraska,NE,12,8.823529411764707,69.11764705882352
new hampshire,NH,4,6.25,45.3125
new jersey,NJ,94,25.336927223719673,50.943396226415096
new mexico,NM,43,27.92207792207792,58.44155844155844
nevada,NV,22,27.500000000000004,52.5
new york,NY,163,17.678958785249456,51.84381778741866
ohio,OH,37,9.113300492610838,70.19704433497537
oklahoma,OK,47,23.03921568627451,57.35294117647059
oregon,OR,33,14.798206278026907,53.36322869955157
pennsylvania,PA,104,19.696969696969695,47.159090909090914
rhode island,RI,9,17.307692307692307,48.07692307692308
south carolina,SC,10,8.771929824561402,53.50877192982456
south dakota,SD,10,16.129032258064516,77.41935483870968
tennessee,TN,23,10.13215859030837,62.55506607929515
texas,TX,86,17.62295081967213,50.204918032786885
utah,UT,55,23.404255319148938,34.04255319148936
virginia,VA,22,9.606986899563319,57.64192139737992
vermont,VT,3,6.521739130434782,82.6086956521739
washington,WA,49,11.448598130841122,46.96261682242991
wisconsin,WI,38,13.571428571428571,50.71428571428571
west virginia,WV,21,19.81132075471698,64.15094339622641
wyoming,WY,7,12.068965517241379,79.3103448275862
