region,state,n_facility,lgbtq_total,lgbtq_perc,govt_fund,perc_confirmed,lgbtq_actual,lgbtq_perc_actual
alabama,AL,155,26,16.7741935483871,64.5,0.038461538461538464,1,0.6451612903225806
alaska,AK,105,12,11.428571428571429,74.3,0,0,0
arizona,AZ,447,127,28.41163310961969,46.8,0.14960629921259844,19,4.250559284116331
arkansas,AR,171,34,19.883040935672515,56.1,0.029411764705882353,1,0.5847953216374269
california,CA,1734,582,33.56401384083045,44.7,0.15120274914089346,88,5.074971164936563
colorado,CO,393,101,25.699745547073793,54.7,0.15841584158415842,16,4.071246819338422
connecticut,CT,210,59,28.095238095238095,71,0.06779661016949153,4,1.9047619047619049
delaware,DE,49,12,24.489795918367346,38.8,0.08333333333333333,1,2.0408163265306123
florida,FL,712,213,29.91573033707865,41.4,0.12206572769953052,26,3.651685393258427
georgia,GA,348,89,25.57471264367816,35.1,0.10112359550561797,9,2.586206896551724
hawaii,HI,161,28,17.391304347826086,85.7,0,0,0
idaho,ID,110,25,22.727272727272727,42.7,0.08,2,1.8181818181818181
illinois,IL,713,141,19.775596072931275,53.3,0.11347517730496454,16,2.244039270687237
indiana,IN,416,61,14.663461538461538,55,0.04918032786885246,3,0.7211538461538461
iowa,IA,185,24,12.972972972972974,58.9,0.125,3,1.6216216216216217
kansas,KS,170,28,16.470588235294116,61.2,0.14285714285714285,4,2.3529411764705883
kentucky,KY,477,91,19.07756813417191,41.9,0.07692307692307693,7,1.4675052410901468
louisiana,LA,155,42,27.09677419354839,53.5,0,0,0
maine,ME,196,34,17.346938775510203,49,0.2647058823529412,9,4.591836734693878
maryland,MD,432,128,29.629629629629626,22.5,0.109375,14,3.2407407407407405
massachusetts,MA,440,120,27.27272727272727,58.4,0.13333333333333333,16,3.6363636363636362
michigan,MI,455,107,23.516483516483515,62.4,0.16822429906542055,18,3.9560439560439558
minnesota,MN,401,81,20.199501246882793,43.4,0.13580246913580246,11,2.7431421446384037
mississippi,MS,105,22,20.952380952380953,65.7,0.13636363636363635,3,2.857142857142857
missouri,MO,278,35,12.589928057553957,76.3,0.05714285714285714,2,0.7194244604316548
montana,MT,129,22,17.05426356589147,65.9,0.045454545454545456,1,0.7751937984496124
nebraska,NE,123,19,15.447154471544716,71.5,0.3684210526315789,7,5.691056910569105
nevada,NV,109,44,40.36697247706422,51.4,0.1590909090909091,7,6.422018348623854
new hampshire,NH,109,33,30.275229357798167,37.6,0,0,0
new jersey,NJ,383,131,34.20365535248042,47.3,0.09923664122137404,13,3.3942558746736298
new mexico,NM,162,58,35.80246913580247,61.7,0.13793103448275862,8,4.938271604938271
new york,NY,894,230,25.727069351230426,54.1,0.1391304347826087,32,3.5794183445190155
north carolina,NC,611,185,30.27823240589198,37.3,0.06486486486486487,12,1.9639934533551555
north dakota,ND,87,4,4.597701149425287,47.1,0.25,1,1.1494252873563218
ohio,OH,619,114,18.416801292407108,60.3,0.12280701754385964,14,2.2617124394184165
oklahoma,OK,195,55,28.205128205128204,71.8,0.12727272727272726,6.999999999999999,3.5897435897435894
oregon,OR,247,51,20.647773279352226,55.1,0.0784313725490196,4,1.6194331983805668
pennsylvania,PA,604,133,22.019867549668874,52.6,0.22556390977443608,30,4.966887417218543
rhode island,RI,63,14,22.22222222222222,57.1,0.14285714285714285,2,3.1746031746031744
south carolina,SC,124,14,11.29032258064516,61.3,0.07142857142857142,1,0.8064516129032258
south dakota,SD,58,9,15.517241379310345,81,0.1111111111111111,1,1.7241379310344827
tennessee,TN,311,60,19.292604501607716,65,0.05,3,0.964630225080386
texas,TX,509,125,24.557956777996072,50.9,0.096,12,2.357563850687623
utah,UT,333,117,35.13513513513514,33.6,0.1282051282051282,14.999999999999998,4.504504504504505
vermont,VT,52,6,11.538461538461538,73.1,0.3333333333333333,2,3.8461538461538463
virginia,VA,249,49,19.67871485943775,49.4,0.08163265306122448,3.9999999999999996,1.6064257028112447
washington,WA,457,69,15.098468271334792,48.8,0.11594202898550725,8,1.75054704595186
west virginia,WV,126,27,21.428571428571427,55.6,0,0,0
wisconsin,WI,295,42,14.237288135593221,44.4,0.047619047619047616,2,0.6779661016949152
wyoming,WY,60,17,28.333333333333332,76.7,0.058823529411764705,1,1.6666666666666667
