region,case_state,year,lgbtq_total,lgbtq_perc,govt_fund,t,state_policy,temp_id,perc_confirmed,lgbtq_actual
alaska,1,2010,2,2.5974025974026,83.1168831168831,1,14.4578313253012,1,0,0
alabama,2,2010,4,2.89855072463768,63.768115942029,1,7.2289156626506,2,0.0384615384615385,0.153846153846154
arkansas,3,2010,5,8.06451612903226,75.8064516129032,1,14.4578313253012,3,0.0294117647058824,0.147058823529412
arizona,4,2010,8,3.73831775700935,42.9906542056075,1,16.8674698795181,4,0.149606299212598,1.19685039370079
california,5,2010,167,10.2706027060271,60.3936039360394,1,36.144578313253,5,0.151202749140893,25.2508591065292
colorado,6,2010,44,10.0686498855835,50.5720823798627,1,36.144578313253,6,0.158415841584158,6.97029702970297
connecticut,7,2010,4,2.05128205128205,71.2820512820513,1,31.3253012048193,7,0.0677966101694915,0.271186440677966
delaware,8,2010,2,5.40540540540541,67.5675675675676,1,26.5060240963855,8,0.0833333333333333,0.166666666666667
florida,9,2010,39,6.57672849915683,51.7706576728499,1,12.0481927710843,9,0.122065727699531,4.76056338028169
georgia,10,2010,6,2.46913580246914,46.9135802469136,1,12.0481927710843,10,0.101123595505618,0.606741573033708
hawaii,11,2010,3,2.52100840336134,87.3949579831933,1,33.7349397590361,11,0,0
iowa,12,2010,1,0.8,76,1,43.3734939759036,12,0.125,0.125
idaho,13,2010,3,3.2258064516129,67.741935483871,1,4.81927710843374,13,0.08,0.24
illinois,14,2010,40,6.6006600660066,53.960396039604,1,36.144578313253,14,0.113475177304965,4.53900709219858
indiana,15,2010,10,3.66300366300366,63.003663003663,1,14.4578313253012,15,0.0491803278688525,0.491803278688525
kansas,16,2010,11,5.21327014218009,55.9241706161137,1,9.63855421686747,16,0.142857142857143,1.57142857142857
kentucky,17,2010,11,3.7542662116041,51.877133105802,1,14.4578313253012,17,0.0769230769230769,0.846153846153846
louisiana,18,2010,5,3.24675324675325,74.025974025974,1,24.0963855421687,18,0,0
massachusetts,19,2010,17,5.53745928338762,60.9120521172638,1,31.3253012048193,19,0.133333333333333,2.26666666666667
maryland,20,2010,16,4.71976401179941,53.0973451327434,1,28.9156626506024,20,0.109375,1.75
maine,21,2010,7,3.91061452513966,35.7541899441341,1,43.3734939759036,21,0.264705882352941,1.85294117647059
