id,state,lgbt,owner,sliding_fee,accredited,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,supp_women,supp_men,supp_cooccur,supp_hiv,supp_sexabuse,supp_ipv,supp_trauma,num_assessment,num_test,num_medical,num_transition,num_recovery,num_education,num_ancillary,num_psychopharm
201900001,AK,0,State Government,1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,1,0,0,0,0,7,1,0,3,4,9,6,0
201900002,AK,0,"Private, Non-profit",1,1,0,NA,NA,1,0,1,1,0,NA,NA,NA,NA,NA,0,1,1,0,0,1,1,5,2,0,3,6,10,6,16
201900003,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,1,1,0,0,1,1,1,1,0,0,0,0,6,4,0,3,3,8,3,4
201900004,AK,0,"Private, Non-profit",1,1,0,NA,NA,1,0,1,1,0,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,8,3,0,4,4,9,3,0
201900005,AK,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,1,1,0,0,1,0,0,1,0,0,0,1,6,8,2,4,4,8,4,10
201900006,AK,0,"Private, Non-profit",1,1,0,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,4,1,0,1,2,5,3,2
201900007,AK,0,"Private, Non-profit",1,1,0,NA,NA,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,5,2,0,4,5,9,5,0
201900008,AK,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,1,1,1,0,1,1,1,7,0,0,2,1,6,4,0
201900009,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0
201900010,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,0,0,4,1,0,3,2,4,4,0
201900011,AK,0,Tribal Government,1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,1,1,1,0,1,1,1,5,0,0,2,4,5,5,0
201900012,AK,0,"Private, Non-profit",1,0,0,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,5,4,0,2,3,8,5,1
201900013,AK,1,"Private, For-profit",0,1,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,1,1,1,1,0,0,1,1,6,4,0,4,2,6,2,3
201900014,AK,0,Tribal Government,1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,1,1,0,0,0,0,1,7,7,0,4,4,9,5,10
201900015,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,4,2,7,4,0
201900016,AK,0,"Private, Non-profit",1,1,0,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,6,0,3,2,8,7,0
201900017,AK,0,Local Government,0,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,1,3,6,4,2
