region,state,so_gi,relational_recognition,non_discrimination,religious_exemption,lgbt_youth,healthcare,criminal_justic,identity_docs,so_policy_total,gi_policy_total,overall_policy_total
alabama,AL,SO,1.5/6,0/4.5,-2.5/-3.5,0/4,0/2,0/2,--,-1,-3.5,-4.5
alabama,AL,GI,0/1,0/4.5,-2.5/-2.5,-1/4,0/4.5,0/2,0/4,-1,-3.5,-4.5
alaska,AK,SO,2.5/6,3.5/4.5,0/-3.5,1.5/4,0/2,-0.25/2,--,7.25,6.5,13.75
alaska,AK,GI,1/1,3.5/4.5,0/-2.5,1.5/4,-1/4.5,-0.25/2,1.75/4,7.25,6.5,13.75
american samoa,NA,SO,1.5/6,0/4.5,0/-3.5,0/4,0/2,0/2,--,1.5,-1,0.5
american samoa,NA,GI,0/1,0/4.5,0/-2.5,0/4,0/4.5,0/2,-1/4,1.5,-1,0.5
arizona,AZ,SO,2.5/6,1.75/4.5,-0.5/-3.5,0/4,1/2,1/2,--,5.75,-0.5,5.25
arizona,AZ,GI,0/1,1.75/4.5,-0.5/-2.5,0/4,-1/4.5,0/2,-0.75/4,5.75,-0.5,5.25
arkansas,AR,SO,2/6,-1/4.5,-1.5/-3.5,1/4,0.5/2,-1/2,--,0,-4.5,-4.5
arkansas,AR,GI,0/1,-1/4.5,-1.5/-2.5,0/4,-2.5/4.5,-1/2,1.5/4,0,-4.5,-4.5
california,CA,SO,5.25/6,3.5/4.5,0/-3.5,4/4,2/2,1.75/2,--,16.5,18.25,34.75
california,CA,GI,1/1,3.5/4.5,0/-2.5,4/4,4/4.5,1.75/2,4/4,16.5,18.25,34.75
colorado,CO,SO,5/6,4.5/4.5,0/-3.5,3.5/4,1.5/2,1.75/2,--,16.25,18.25,34.5
colorado,CO,GI,1/1,4.5/4.5,0/-2.5,3.5/4,3.5/4.5,1.75/2,4/4,16.25,18.25,34.5
connecticut,CT,SO,6/6,4.5/4.5,-0.5/-3.5,3.5/4,1/2,2/2,--,16.5,19,35.5
connecticut,CT,GI,1/1,4.5/4.5,-0.5/-2.5,4/4,4/4.5,2/2,4/4,16.5,19,35.5
delaware,DE,SO,4/6,3.5/4.5,0/-3.5,2.5/4,2/2,0.5/2,--,12.5,12.75,25.25
delaware,DE,GI,1/1,3.5/4.5,0/-2.5,2.5/4,4.5/4.5,0.5/2,0.75/4,12.5,12.75,25.25
district of columbia,NA,SO,5.5/6,3.5/4.5,0/-3.5,3.5/4,2/2,2/2,--,16.5,18,34.5
district of columbia,NA,GI,1/1,3.5/4.5,0/-2.5,3.5/4,4.5/4.5,2/2,3.5/4,16.5,18,34.5
florida,FL,SO,1.5/6,2.75/4.5,-0.5/-3.5,1/4,1/2,0/2,--,5.75,3.5,9.25
florida,FL,GI,0/1,2.75/4.5,-0.5/-2.5,0/4,0/4.5,-1/2,2.25/4,5.75,3.5,9.25
georgia,GA,SO,1.5/6,0/4.5,0/-3.5,0/4,1/2,0.5/2,--,3,-3,0
georgia,GA,GI,0/1,0/4.5,0/-2.5,0/4,-0.5/4.5,0.5/2,-3/4,3,-3,0
guam,NA,SO,3.25/6,1.5/4.5,0/-3.5,1/4,1/2,-0.25/2,--,6.5,-0.75,5.75
guam,NA,GI,0.5/1,1.5/4.5,0/-2.5,0/4,0.5/4.5,-0.25/2,-3/4,6.5,-0.75,5.75
hawaii,HI,SO,3/6,3.5/4.5,0/-3.5,3/4,2/2,2/2,--,13.5,16.5,30
hawaii,HI,GI,1/1,3.5/4.5,0/-2.5,3/4,4.5/4.5,2/2,2.5/4,13.5,16.5,30
idaho,ID,SO,2.5/6,0.75/4.5,-0.5/-3.5,0.5/4,0/2,-0.5/2,--,2.75,-1,1.75
idaho,ID,GI,0/1,0.75/4.5,-0.5/-2.5,-0.5/4,-0.5/4.5,-0.5/2,0.25/4,2.75,-1,1.75
illinois,IL,SO,4/6,4.5/4.5,-1.5/-3.5,4/4,2/2,1.5/2,--,14.5,15.5,30
illinois,IL,GI,1/1,4.5/4.5,-1.5/-2.5,4/4,3.5/4.5,1.5/2,2.5/4,14.5,15.5,30
indiana,IN,SO,4/6,1.25/4.5,-0.5/-3.5,0.5/4,1/2,-1/2,--,5.25,1.25,6.5
indiana,IN,GI,0/1,1.25/4.5,-0.5/-2.5,0.5/4,1/4.5,-1/2,0/4,5.25,1.25,6.5
iowa,IA,SO,2.5/6,4.5/4.5,0/-3.5,2.5/4,1/2,0.5/2,--,11,6,17
iowa,IA,GI,1/1,4.5/4.5,0/-2.5,2.5/4,0.5/4.5,-0.5/2,-2/4,11,6,17
kansas,KS,SO,2.5/6,2.75/4.5,-2/-3.5,0/4,0/2,1/2,--,4.25,2.5,6.75
