region,state,so_gi,relational_recognition,adoption_parenting,non_discrimination,lgbt_youth,healthcare,identity_docs,so_policy_total,gi_policy_total,overall_policy_total
alabama,AL,SO,2/3,2/7,-0.5/4,-0.5/2,-0.5/4,--,2.5,-2.5,0
alabama,AL,GI,--,0/7,-0.5/4,-0.5/2,-0.5/4,-1/3,2.5,-2.5,0
alaska,AK,SO,2/3,2/7,0.75/4,0/2,-0.5/4,--,4.25,0.75,5
alaska,AK,GI,--,0/7,0.75/4,0/2,-1.5/4,1.5/3,4.25,0.75,5
arizona,AZ,SO,2/3,2.5/7,0.25/4,-0.5/2,0.75/4,--,5,-1.75,3.25
arizona,AZ,GI,--,0/7,0.25/4,-0.5/2,-1.25/4,-0.25/3,5,-1.75,3.25
arkansas,AR,SO,2/3,2.5/7,-1/4,1/2,-0.5/4,--,4,-1.5,2.5
arkansas,AR,GI,--,0/7,-1/4,1/2,-0.5/4,-1/3,4,-1.5,2.5
california,CA,SO,2.5/3,6/7,3/4,2/2,2.5/4,--,16,14.25,30.25
california,CA,GI,--,2/7,3/4,2/2,4.5/4,2.75/3,16,14.25,30.25
colorado,CO,SO,3/3,3/7,4/4,2/2,1.5/4,--,13.5,9.25,22.75
colorado,CO,GI,--,0/7,4/4,2/2,3.5/4,-0.25/3,13.5,9.25,22.75
connecticut,CT,SO,2.5/3,4/7,3.5/4,2/2,0.75/4,--,12.75,11.25,24
connecticut,CT,GI,--,0/7,3.5/4,2/2,2.75/4,3/3,12.75,11.25,24
delaware,DE,SO,2/3,3/7,3/4,0.5/2,1.5/4,--,10,6,16
delaware,DE,GI,--,0/7,3/4,0.5/2,2.5/4,0/3,10,6,16
district of columbia,NA,SO,3/3,4.5/7,3/4,2/2,3/4,--,15.5,13,28.5
district of columbia,NA,GI,--,0/7,3/4,2/2,5/4,3/3,15.5,13,28.5
florida,FL,SO,2/3,2/7,1/4,0/2,0.5/4,--,5.5,1.25,6.75
florida,FL,GI,--,0/7,1/4,0/2,-0.5/4,0.75/3,5.5,1.25,6.75
georgia,GA,SO,2/3,2/7,0/4,0.5/2,-0.5/4,--,4,-3.5,0.5
georgia,GA,GI,--,0/7,0/4,0/2,-1.5/4,-2/3,4,-3.5,0.5
hawaii,HI,SO,2.5/3,2.5/7,3/4,1/2,1/4,--,10,5.5,15.5
hawaii,HI,GI,--,0/7,3/4,0.5/2,0/4,2/3,10,5.5,15.5
idaho,ID,SO,2/3,2.5/7,0.25/4,0/2,-0.5/4,--,4.25,-0.5,3.75
idaho,ID,GI,--,0/7,0.25/4,0/2,-0.5/4,-0.25/3,4.25,-0.5,3.75
illinois,IL,SO,2/3,2.5/7,3.5/4,2/2,2.5/4,--,12.5,9.75,22.25
illinois,IL,GI,--,0/7,3.5/4,2/2,4.5/4,-0.25/3,12.5,9.75,22.25
indiana,IN,SO,2/3,3/7,0.25/4,0/2,-0.5/4,--,4.75,1,5.75
indiana,IN,GI,--,0/7,0.25/4,0/2,-0.5/4,1.25/3,4.75,1,5.75
iowa,IA,SO,2/3,2/7,4/4,2/2,0.5/4,--,10.5,2.5,13
iowa,IA,GI,--,0/7,4/4,2/2,-1.5/4,-2/3,10.5,2.5,13
kansas,KS,SO,2/3,3/7,-0.75/4,0/2,0.5/4,--,4.75,-0.25,4.5
kansas,KS,GI,--,0/7,-0.75/4,0/2,-0.5/4,1/3,4.75,-0.25,4.5
kentucky,KY,SO,2/3,3/7,0.25/4,0/2,0.5/4,--,5.75,-1.25,4.5
kentucky,KY,GI,--,0/7,0.25/4,0/2,-0.5/4,-1/3,5.75,-1.25,4.5
