region,state,so_gi,marriage_recognition,relational_recognition,non_discrimination,religious_exemption,lgbt_youth,healthcare,identity_docs,so_policy_total,gi_policy_total,overall_policy_total
alabama,AL,SO,1/1,1/7,0/4.5,-0.75/-1.25,-0.5/3.5,-0.5/3,--,0.25,-2.75,-2.5
alabama,AL,GI,--,0/2,0/4.5,-0.75/-0.75,-0.5/3.5,-0.5/5,-1/3,0.25,-2.75,-2.5
alaska,AK,SO,1/1,1/7,1.25/4.5,0/-1.25,0/3.5,0/3,--,3.25,1.25,4.5
alaska,AK,GI,--,0/2,0.75/4.5,0/-0.75,0/3.5,-1/5,1.5/3,3.25,1.25,4.5
arizona,AZ,SO,1/1,1.5/7,1.25/4.5,-0.25/-1.25,-0.5/3.5,1.75/3,--,4.75,-1.75,3
arizona,AZ,GI,--,0/2,0.75/4.5,-0.25/-0.75,-0.5/3.5,-1.25/5,-0.5/3,4.75,-1.75,3
arkansas,AR,SO,1/1,1/7,-0.5/4.5,-0.25/-1.25,1/3.5,0/3,--,2.25,-1.75,0.5
arkansas,AR,GI,--,0/2,-0.5/4.5,-0.25/-0.75,1/3.5,-1/5,-1/3,2.25,-1.75,0.5
california,CA,SO,1/1,5.5/7,3.5/4.5,0/-1.25,3.5/3.5,2.5/3,--,16,16,32
california,CA,GI,--,2/2,3.5/4.5,0/-0.75,3.5/3.5,4.5/5,2.5/3,16,16,32
colorado,CO,SO,1/1,3/7,4.5/4.5,0/-1.25,2/3.5,2.5/3,--,13,10,23
colorado,CO,GI,--,0/2,4.5/4.5,0/-0.75,2/3.5,4/5,-0.5/3,13,10,23
connecticut,CT,SO,1/1,3.5/7,4.5/4.5,-0.25/-1.25,3/3.5,1.75/3,--,13.5,14,27.5
connecticut,CT,GI,--,0/2,4.5/4.5,-0.25/-0.75,3/3.5,3.75/5,3/3,13.5,14,27.5
delaware,DE,SO,1/1,2/7,3.5/4.5,0/-1.25,0.5/3.5,2.5/3,--,9.5,8.5,18
delaware,DE,GI,--,0/2,3.5/4.5,0/-0.75,0.5/3.5,3.5/5,1/3,9.5,8.5,18
district of columbia,NA,SO,1/1,6.5/7,3.5/4.5,0/-1.25,3/3.5,3/3,--,17,16.5,33.5
district of columbia,NA,GI,--,2/2,3.5/4.5,0/-0.75,3/3.5,5/5,3/3,17,16.5,33.5
florida,FL,SO,1/1,1/7,1.5/4.5,-0.25/-1.25,0/3.5,1/3,--,4.25,0.75,5
florida,FL,GI,--,0/2,1.5/4.5,-0.25/-0.75,0/3.5,-1/5,0.5/3,4.25,0.75,5
georgia,GA,SO,1/1,1/7,0/4.5,0/-1.25,0.5/3.5,0/3,--,2.5,-4,-1.5
georgia,GA,GI,--,0/2,0/4.5,0/-0.75,0/3.5,-1/5,-3/3,2.5,-4,-1.5
hawaii,HI,SO,1/1,2/7,3.5/4.5,0/-1.25,1/3.5,3/3,--,10.5,9,19.5
hawaii,HI,GI,--,0/2,3.5/4.5,0/-0.75,0.5/3.5,3/5,2/3,10.5,9,19.5
idaho,ID,SO,1/1,1.5/7,0.75/4.5,-0.25/-1.25,0/3.5,0/3,--,3,-1.5,1.5
idaho,ID,GI,--,0/2,0.75/4.5,-0.25/-0.75,0/3.5,-0.5/5,-1.5/3,3,-1.5,1.5
illinois,IL,SO,1/1,1.5/7,4.5/4.5,-0.5/-1.25,3.5/3.5,2.5/3,--,12.5,13,25.5
illinois,IL,GI,--,0/2,4.5/4.5,-0.5/-0.75,3.5/3.5,4/5,1.5/3,12.5,13,25.5
indiana,IN,SO,1/1,2/7,1.25/4.5,-0.25/-1.25,0/3.5,0.5/3,--,4.5,1.5,6
indiana,IN,GI,--,0/2,1.25/4.5,-0.25/-0.75,0/3.5,0.5/5,0/3,4.5,1.5,6
iowa,IA,SO,1/1,1/7,4.5/4.5,0/-1.25,2/3.5,1/3,--,9.5,3.5,13
iowa,IA,GI,--,0/2,4.5/4.5,0/-0.75,2/3.5,-1/5,-2/3,9.5,3.5,13
kansas,KS,SO,1/1,2/7,0.5/4.5,-0.5/-1.25,0/3.5,1/3,--,4,-0.25,3.75
kansas,KS,GI,--,0/2,0.5/4.5,-0.25/-0.75,0/3.5,0/5,-0.5/3,4,-0.25,3.75
kentucky,KY,SO,1/1,2/7,1.25/4.5,-0.25/-1.25,0/3.5,1.5/3,--,5.5,0.5,6
kentucky,KY,GI,--,0/2,1.25/4.5,-0.25/-0.75,0/3.5,0.5/5,-1/3,5.5,0.5,6
louisiana,LA,SO,1/1,1/7,0/4.5,-0.25/-1.25,-0.5/3.5,1.5/3,--,2.75,-2.25,0.5
louisiana,LA,GI,--,0/2,0/4.5,-0.25/-0.75,-0.5/3.5,-0.5/5,-1/3,2.75,-2.25,0.5
maine,ME,SO,1/1,4/7,4.5/4.5,0/-1.25,2/3.5,2/3,--,13.5,6,19.5
maine,ME,GI,--,0/2,4.5/4.5,0/-0.75,2/3.5,-0.5/5,0/3,13.5,6,19.5
maryland,MD,SO,1/1,4.5/7,4.5/4.5,0/-1.25,1/3.5,1.5/3,--,12.5,10.5,23
maryland,MD,GI,--,0/2,4.5/4.5,0/-0.75,1/3.5,3.5/5,1.5/3,12.5,10.5,23
massachusetts,MA,SO,1/1,5/7,4.5/4.5,0/-1.25,2/3.5,1.75/3,--,14.25,12.25,26.5
massachusetts,MA,GI,--,0/2,4.5/4.5,0/-0.75,2/3.5,3.75/5,2/3,14.25,12.25,26.5
michigan,MI,SO,1/1,1/7,0.5/4.5,-0.25/-1.25,0/3.5,0.5/3,--,2.75,0.75,3.5
michigan,MI,GI,--,0/2,0.5/4.5,-0.25/-0.75,0/3.5,1/5,-0.5/3,2.75,0.75,3.5
minnesota,MN,SO,1/1,2/7,4.5/4.5,0/-1.25,2/3.5,2/3,--,11.5,10.5,22
minnesota,MN,GI,--,0/2,4.5/4.5,0/-0.75,2/3.5,2.5/5,1.5/3,11.5,10.5,22
mississippi,MS,SO,1/1,1.5/7,0/4.5,-1.25/-1.25,-0.5/3.5,-0.5/3,--,0.25,-0.75,-0.5
mississippi,MS,GI,--,0/2,0/4.5,-0.75/-0.75,-0.5/3.5,-1/5,1.5/3,0.25,-0.75,-0.5
missouri,MO,SO,1/1,1/7,1.25/4.5,-0.25/-1.25,-0.5/3.5,1/3,--,3.5,0,3.5
missouri,MO,GI,--,0/2,0.75/4.5,-0.25/-0.75,-0.5/3.5,0/5,0/3,3.5,0,3.5
montana,MT,SO,1/1,2/7,0.5/4.5,0/-1.25,0/3.5,-0.5/3,--,3,-0.5,2.5
montana,MT,GI,--,0/2,0.5/4.5,0/-0.75,0/3.5,1/5,-2/3,3,-0.5,2.5
nebraska,NE,SO,1/1,1.5/7,0/4.5,0/-1.25,0/3.5,0.5/3,--,3,-3.5,-0.5
nebraska,NE,GI,--,0/2,0/4.5,0/-0.75,0/3.5,-2/5,-1.5/3,3,-3.5,-0.5
nevada,NV,SO,1/1,2.5/7,3.5/4.5,0/-1.25,2.5/3.5,2.5/3,--,12,10,22
nevada,NV,GI,--,0/2,3.5/4.5,0/-0.75,2.5/3.5,2.5/5,1.5/3,12,10,22
new hampshire,NH,SO,1/1,1/7,3.5/4.5,0/-1.25,1/3.5,0.75/3,--,7.25,1.75,9
