state,senate_score,house_score,cong_116_score
alabama,34.5,13.857142857142858,24.17857142857143
alaska,1.5,12,6.75
arizona,43,55.22222222222222,49.111111111111114
arkansas,0,0,0
california,100,88.17647058823529,94.08823529411765
colorado,46.5,57.142857142857146,51.82142857142857
connecticut,100,100,100
delaware,98.5,100,99.25
florida,0,50.407407407407405,25.203703703703702
georgia,0,32.25,16.125
hawaii,94,90.5,92.25
idaho,0,3.5,1.75
illinois,100,72,86
indiana,0,28.77777777777778,14.38888888888889
iowa,0,73.5,36.75
kansas,0,24.25,12.125
kentucky,4,16.666666666666668,10.333333333333334
louisiana,0,16.666666666666668,8.333333333333334
maine,69,95,82
maryland,100,85.71428571428571,92.85714285714286
massachusetts,100,100,100
michigan,95.5,53.5,74.5
minnesota,100,57.375,78.6875
mississippi,0,25,12.5
missouri,0,25.5,12.75
montana,41,0,20.5
nebraska,0,2.3333333333333335,1.1666666666666667
nevada,98.5,74.25,86.375
new hampshire,100,100,100
new jersey,100,91.25,95.625
new mexico,98.5,97,97.75
new york,100,86.65384615384616,93.32692307692308
north carolina,0,28.8,14.4
north dakota,0,0,0
ohio,50,28.4375,39.21875
oklahoma,0,19,9.5
oregon,100,88.8,94.4
pennsylvania,48.5,53.611111111111114,51.05555555555556
rhode island,100,100,100
south carolina,0,26.857142857142858,13.428571428571429
south dakota,0,0,0
tennessee,0,23.22222222222222,11.61111111111111
texas,0,38.51428571428571,19.257142857142856
utah,3.5,21,12.25
vermont,100,100,100
virginia,92.5,62.54545454545455,77.52272727272728
washington,98.5,71.5,85
west virginia,29,0,14.5
wisconsin,50,43.42857142857143,46.714285714285715
wyoming,0,0,0
