year,lgbtq_perc_m,lgbtq_perc_sd,lgbtq_perc_actual_m,lgbtq_perc_actual_sd,state_policy_m,state_policy_sd,govt_fund_m,govt_fund_sd
2010,5.01,2.48,0.61,0.58,20.67,12.86,63.27,12.45
2011,4.22,2.39,0.52,0.51,29.35,21.35,62.87,11.94
2012,5.56,2.75,0.63,0.51,35.26,28.69,61.2,12.19
2013,10.54,4.47,1.19,0.88,42.62,33.77,60.63,12.9
2014,15.09,5.34,1.74,1.24,42.53,35.67,58.38,13.14
2015,15.79,5.3,1.79,1.21,27.58,23.85,57.99,12.91
2016,16.31,5.99,1.82,1.27,28,25.74,55.35,14.03
2017,17.12,6.53,1.96,1.39,32.43,27.03,56.6,13.33
2018,18.45,6.55,2.12,1.6,35.51,28.34,56.98,13.31
2019,20.57,6.61,2.32,1.63,39.35,31.16,55.92,13.29
2020,22.14,7.47,2.4,1.65,47.03,31.92,55.36,13.32
